STNAME,COUNTRY,LONGDEC,LAT_DEC
Ban Chot,Thailand,102.5734004,16.10158785
Ban Don,Viet Nam,107.783126831055,12.897910118103
Ban Huai Yano Mai,Thailand,99.78170233,20.11316588
Ban Kamphun,Cambodia,106.0519912,13.53586422
Ban Kengdone,Lao PDR,105.312866210938,16.1872692108154
Ban Nong Kiang,Thailand,101.6635215,16.13456982
Ban Pak Huai,Thailand,101.4115267,17.70442284
Ban Pak Kanhoung,Lao PDR,102.5463588,18.41937801
Ban Tad Ton,Thailand,102.0264762,15.94359283
Ban Tha Mai Liam,Thailand,99.35476379,20.02116689
Ban Tha Ton,Thailand,99.35976227,20.06116311
Battambang,Cambodia,103.20027923584,13.0920000076294
Buon Ho,Viet Nam,108.266666666667,12.9166666666667
Buon Me Thuoc,Viet Nam,108.05,12.6666666666667
Ca Mau,Viet Nam,105.08,9.01666666666667
Can Tho,Viet Nam,105.783333333333,10.0333333333333
Cau 14 (Buon Bur),Viet Nam,107.9287695,12.61196816
Chaktomuk,Cambodia,104.935287475586,11.5629901885986
Chantangoy,Cambodia,106.0529906,13.56586178
Chau Doc,Viet Nam,105.1,10.7
Chiang Khan,Thailand,101.669891357422,17.900260925293
Chiang Saen,Thailand,100.08854675293,20.2741203308105
Chroy Chang Var,Cambodia,104.93842,11.5874
Dai Ngai,Viet Nam,106.016666666667,9.8
Dak Nong,Viet Nam,107.687777777778,12.0008333333333
Dak To,Viet Nam,107.848055555556,14.7036111111111
Duc Xuyen,Viet Nam,107.975898742676,12.2967700958252
Khong Chiam,Thailand,105.493476867676,15.3220901489258
Kompong Cham,Cambodia,105.3841017,11.91098617
Kontum,Viet Nam,108.034233093262,14.3470802307129
Kratie,Cambodia,106.017616271973,12.4814100265503
Luang Prabang,Lao PDR,102.13,19.88
Lumphat,Cambodia,106.971153259277,13.500880241394
Mukdahan,Thailand,104.733177185059,16.582799911499
My Tho,Viet Nam,106.4,10.35
My Thuan,Viet Nam,105.926322937012,10.2753200531006
Nakhon Phanom,Thailand,104.773933410645,17.4253692626953
Nong Khai,Thailand,102.732200622559,17.8814392089844
Pakse,Lao PDR,105.813186645508,15.099760055542
Phnom Penh (Ville),Cambodia,104.83,11.6
Phnom Penh Port,Cambodia,104.92651,11.57641
Phung Hiep,Viet Nam,105.15,9.8
Pleiku,Viet Nam,108.016666666667,13.9666666666667
Stung Treng,Cambodia,105.950187683105,13.5325002670288
Tan Chau,Viet Nam,105.248016357422,10.8006200790405
Vam Nao,Viet Nam,105.363372802734,10.5786504745483
Vi Thanh,Viet Nam,105.45,9.76666666666667
Vientiane,Lao PDR,102.615562438965,17.930980682373
Vientiane KM4,Lao PDR,102.615562438965,17.930980682373
Yasothom,Thailand,105.1380685,15.7836604
Yasothon,Thailand,104.15,15.8
