Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Kompong Cham,1960-01-01,2002-12-31,43,FALSE,1969-01-01 -> 2002-12-31
Vientiane KM4,1913-01-01,2006-12-31,94,FALSE,1969-01-01 -> 2002-12-31
Chiang Saen,1960-01-01,2023-11-27,64,TRUE,1969-01-01 -> 2002-12-31
Stung Treng,1910-01-01,2023-11-27,114,TRUE,1969-01-01 -> 2002-12-31
Kratie,1924-01-01,2023-11-27,100,TRUE,1969-01-01 -> 2002-12-31
Pakse,1923-01-01,2023-11-27,101,TRUE,1969-01-01 -> 2002-12-31
Chiang Khan,1967-01-01,2023-11-27,57,TRUE,1969-01-01 -> 2002-12-31
Nong Khai,1969-01-01,2023-11-27,55,TRUE,1969-01-01 -> 2002-12-31
Nakhon Phanom,1924-01-01,2023-11-27,100,TRUE,1969-01-01 -> 2002-12-31
Mukdahan,1923-01-01,2023-11-27,101,TRUE,1969-01-01 -> 2002-12-31
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,1969-01-01 -> 2002-12-31
