Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Phnom Penh (Ville),1963-01-01,2001-12-31,39,TRUE,1976-12-31 -> 2001-12-31
Kompong Cham,1920-01-01,2017-12-31,98,TRUE,1976-12-31 -> 2001-12-31
Kratie,1920-01-01,2018-12-31,99,TRUE,1976-12-31 -> 2001-12-31
Stung Treng,1920-02-01,2018-12-31,99,TRUE,1976-12-31 -> 2001-12-31
Pakse,1929-01-01,2018-12-31,90,TRUE,1976-12-31 -> 2001-12-31
Vientiane,1920-01-01,2018-12-31,99,TRUE,1976-12-31 -> 2001-12-31
Luang Prabang,1920-01-01,2018-12-31,99,TRUE,1976-12-31 -> 2001-12-31
Khong Chiam,1976-12-31,2018-12-31,43,TRUE,1976-12-31 -> 2001-12-31
Mukdahan,1949-12-31,2018-12-31,70,TRUE,1976-12-31 -> 2001-12-31
Chiang Khan,1965-12-31,2018-12-31,54,TRUE,1976-12-31 -> 2001-12-31
Nong Khai,1951-12-31,2018-12-31,68,TRUE,1976-12-31 -> 2001-12-31
Nakhon Phanom,1952-12-31,2018-12-31,67,TRUE,1976-12-31 -> 2001-12-31
Chiang Saen,1965-12-31,2018-12-31,54,TRUE,1976-12-31 -> 2001-12-31
