Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Stung Treng (DSMP),2011-06-07,2019-12-19,9,TRUE,No common duration
Kratie (DSMP),2011-06-06,2019-12-18,9,TRUE,No common duration
Pakse (DSMP),2011-06-16,2019-12-17,9,TRUE,No common duration
Chiang Saen (DSMP),2009-01-05,2019-12-18,11,TRUE,No common duration
Nong Khai (DSMP),2009-01-08,2019-11-28,11,TRUE,No common duration
Nakhon Phanom (DSMP),2012-01-08,2015-07-26,4,TRUE,No common duration
Mukdahan (DSMP),2009-01-05,2019-10-28,11,TRUE,No common duration
Khong Chiam (DSMP),2009-01-07,2019-06-26,11,TRUE,No common duration
Luang Prabang,1962-01-03,2002-12-04,41,TRUE,No common duration
Pakse,1962-01-03,2002-12-18,41,TRUE,No common duration
Chiang Saen,1962-02-22,2007-12-27,46,TRUE,No common duration
Nong Khai,1972-04-20,2007-12-28,36,TRUE,No common duration
Nakhon Phanom,1972-04-07,2007-12-17,36,TRUE,No common duration
Mukdahan,1962-01-04,2007-12-18,46,TRUE,No common duration
Khong Chiam,1966-05-10,2007-12-27,42,TRUE,No common duration
