Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Stung Treng,1910-01-01,2023-11-27,114,TRUE,1972-04-01 -> 2023-11-27
Kratie,1933-01-08,2023-11-27,91,TRUE,1972-04-01 -> 2023-11-27
Kompong Cham,1930-01-01,2023-11-27,94,TRUE,1972-04-01 -> 2023-11-27
Phnom Penh Port,1960-01-01,2023-11-27,64,TRUE,1972-04-01 -> 2023-11-27
Luang Prabang,1960-01-01,2023-11-27,64,TRUE,1972-04-01 -> 2023-11-27
Vientiane KM4,1923-01-01,2023-11-27,101,TRUE,1972-04-01 -> 2023-11-27
Pakse,1960-01-01,2023-11-27,64,TRUE,1972-04-01 -> 2023-11-27
Chiang Saen,1960-04-30,2023-11-27,64,TRUE,1972-04-01 -> 2023-11-27
Chiang Khan,1965-01-01,2023-11-27,59,TRUE,1972-04-01 -> 2023-11-27
Nong Khai,1965-01-01,2023-11-27,59,TRUE,1972-04-01 -> 2023-11-27
Nakhon Phanom,1972-04-01,2023-11-27,52,TRUE,1972-04-01 -> 2023-11-27
Mukdahan,1960-01-01,2023-11-27,64,TRUE,1972-04-01 -> 2023-11-27
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,1972-04-01 -> 2023-11-27
