Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Missing Date Ranges,Common Duration
Kompong Cham,1960-01-01,2002-12-31,43,FALSE,None,2001-01-01 -> 2002-12-31
Vientiane KM4,1913-01-01,2006-12-31,94,FALSE,None,2001-01-01 -> 2002-12-31
Chiang Saen,1960-01-01,2023-11-27,64,TRUE,"2009-12-07 -> 2009-12-07, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Can Tho,2001-01-01,2007-12-31,7,TRUE,"2001-01-13 -> 2001-01-15, 2001-01-27 -> 2001-01-30, 2001-02-10 -> 2001-02-13, 2001-02-24 -> 2001-03-02, 2001-03-11 -> 2001-03-15, 2001-03-26 -> 2001-03-31, 2001-04-09 -> 2001-04-14, 2001-04-23 -> 2001-04-29, 2001-05-07 -> 2001-05-14, 2001-05-22 -> 2001-05-28, 2001-06-06 -> 2001-06-11, 2001-06-21 -> 2001-06-26, 2001-07-06 -> 2001-07-11, 2001-07-22 -> 2001-07-25, 2001-08-06 -> 2001-08-10, 2001-08-21 -> 2001-08-23, 2002-01-02 -> 2002-01-05, 2002-01-16 -> 2002-01-20, 2002-01-31 -> 2002-02-03, 2002-02-14 -> 2002-02-19, 2002-02-28 -> 2002-03-05, 2002-03-15 -> 2002-03-21, 2002-03-29 -> 2002-04-03, 2002-04-12 -> 2002-04-19, 2002-04-27 -> 2002-05-02, 2002-05-11 -> 2002-05-18, 2002-05-26 -> 2002-06-01, 2002-06-10 -> 2002-06-16, 2002-06-25 -> 2002-06-30, 2002-07-11 -> 2002-07-15, 2002-07-25 -> 2002-07-29, 2002-08-10 -> 2002-08-13, 2002-09-10 -> 2002-09-10, 2002-12-24 -> 2002-12-24, 2004-04-07 -> 2004-04-07, 2004-04-23 -> 2004-04-24, 2005-04-11 -> 2005-04-11, 2006-03-02 -> 2006-03-02, 2006-03-30 -> 2006-03-30, 2006-04-18 -> 2006-04-19, 2007-01-06 -> 2007-01-09, 2007-01-21 -> 2007-01-25, 2007-02-04 -> 2007-02-09, 2007-02-19 -> 2007-02-23, 2007-03-04 -> 2007-03-11, 2007-03-19 -> 2007-03-24, 2007-04-02 -> 2007-04-09, 2007-04-18 -> 2007-04-22, 2007-05-01 -> 2007-05-09, 2007-05-17 -> 2007-05-22, 2007-05-30 -> 2007-06-07, 2007-06-14 -> 2007-06-21, 2007-06-28 -> 2007-07-06, 2007-07-14 -> 2007-07-21, 2007-07-28 -> 2007-08-05, 2007-08-13 -> 2007-08-18, 2007-08-30 -> 2007-09-02, 2007-09-13 -> 2007-09-16, 2007-09-30 -> 2007-10-01, 2007-12-27 -> 2007-12-29",2001-01-01 -> 2002-12-31
Stung Treng,1910-01-01,2023-11-27,114,TRUE,2023-11-09 -> 2023-11-11,2001-01-01 -> 2002-12-31
Kratie,1924-01-01,2023-11-27,100,TRUE,"1946-01-01 -> 1946-04-01, 1969-11-24 -> 1969-12-31, 1970-01-15 -> 1970-03-22, 1971-01-01 -> 1999-12-31, 2001-01-11 -> 2001-01-11, 2003-01-24 -> 2003-01-28, 2023-11-09 -> 2023-11-11",2001-01-01 -> 2002-12-31
Pakse,1923-01-01,2023-11-27,101,TRUE,"1923-12-01 -> 1923-12-30, 2008-12-28 -> 2008-12-28, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Chiang Khan,1967-01-01,2023-11-27,57,TRUE,"2008-02-09 -> 2008-02-10, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Nong Khai,1969-01-01,2023-11-27,55,TRUE,"2008-12-16 -> 2008-12-16, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Nakhon Phanom,1924-01-01,2023-11-27,100,TRUE,2023-11-09 -> 2023-11-12,2001-01-01 -> 2002-12-31
Mukdahan,1923-01-01,2023-11-27,101,TRUE,"1923-12-01 -> 1923-12-31, 2009-09-02 -> 2009-09-02, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,"2008-01-01 -> 2008-03-31, 2010-10-05 -> 2010-10-31, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
Kontum,1967-01-01,2013-05-05,47,TRUE,"1972-01-01 -> 1972-03-31, 1972-05-01 -> 1972-12-30, 1974-08-01 -> 1983-12-30, 2007-01-01 -> 2008-01-01, 2008-10-18 -> 2008-10-18, 2008-11-21 -> 2008-11-21, 2008-11-27 -> 2008-11-29, 2009-08-24 -> 2009-08-24, 2009-09-10 -> 2009-09-12, 2009-09-30 -> 2009-10-05, 2009-11-04 -> 2009-11-06, 2010-01-22 -> 2010-01-23, 2010-06-20 -> 2010-06-20, 2010-07-27 -> 2010-07-27, 2010-11-16 -> 2010-11-16, 2011-02-01 -> 2011-03-14, 2011-04-01 -> 2011-12-04, 2012-02-19 -> 2012-02-20, 2012-03-18 -> 2012-05-25, 2012-05-27 -> 2012-11-12, 2013-01-01 -> 2013-05-04",2001-01-01 -> 2002-12-31
