Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Missing Date Ranges,Common Duration
Stung Treng,1910-01-01,2023-11-27,114,TRUE,2023-11-09 -> 2023-11-11,1979-04-01 -> 2023-11-27
Kratie,1933-01-08,2023-11-27,91,TRUE,"1933-12-22 -> 1933-12-31, 2023-11-09 -> 2023-11-11",1979-04-01 -> 2023-11-27
Kompong Cham,1930-01-01,2023-11-27,94,TRUE,2023-11-09 -> 2023-11-11,1979-04-01 -> 2023-11-27
Phnom Penh Port,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-11,1979-04-01 -> 2023-11-27
Luang Prabang,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,1979-04-01 -> 2023-11-27
Vientiane KM4,1923-01-01,2023-11-27,101,TRUE,"1940-01-01 -> 1941-12-31, 1945-01-01 -> 1946-12-31, 1953-01-01 -> 1959-12-31, 2022-11-10 -> 2022-11-15, 2023-05-01 -> 2023-05-03, 2023-11-09 -> 2023-11-12",1979-04-01 -> 2023-11-27
Pakse,1960-01-01,2023-11-27,64,TRUE,"2019-10-17 -> 2019-10-17, 2023-11-09 -> 2023-11-12",1979-04-01 -> 2023-11-27
Chiang Saen,1960-04-30,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,1979-04-01 -> 2023-11-27
Chiang Khan,1965-01-01,2023-11-27,59,TRUE,"1965-03-07 -> 1965-06-12, 1966-01-01 -> 1966-02-14, 1966-03-19 -> 1966-05-23, 2023-11-09 -> 2023-11-12",1979-04-01 -> 2023-11-27
Nong Khai,1965-01-01,2023-11-27,59,TRUE,2023-11-09 -> 2023-11-12,1979-04-01 -> 2023-11-27
Nakhon Phanom,1972-04-01,2023-11-27,52,TRUE,2023-11-09 -> 2023-11-12,1979-04-01 -> 2023-11-27
Mukdahan,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,1979-04-01 -> 2023-11-27
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,"2008-01-01 -> 2008-03-31, 2023-11-09 -> 2023-11-12",1979-04-01 -> 2023-11-27
Can Tho,1979-04-01,2023-11-27,45,TRUE,"1982-06-16 -> 1982-06-17, 1983-04-09 -> 1983-04-09, 1983-05-22 -> 1983-05-22, 1983-06-03 -> 1983-06-08, 1983-07-06 -> 1983-07-06, 1984-06-24 -> 1984-06-24, 2007-01-01 -> 2007-03-31, 2007-12-16 -> 2007-12-31, 2018-11-02 -> 2018-11-02, 2019-03-27 -> 2019-03-29, 2019-09-04 -> 2019-09-04, 2019-12-10 -> 2019-12-15, 2020-02-22 -> 2020-02-22, 2020-10-03 -> 2020-10-03, 2021-02-27 -> 2021-02-27, 2021-03-30 -> 2021-03-30, 2022-08-11 -> 2022-08-11, 2023-01-16 -> 2023-01-16, 2023-11-09 -> 2023-11-09",1979-04-01 -> 2023-11-27
Kontum,1966-01-01,2023-11-27,58,TRUE,"1970-01-01 -> 1973-05-31, 1973-07-09 -> 1973-07-26, 1973-08-13 -> 1973-09-09, 1974-01-01 -> 1983-12-31, 1995-10-28 -> 1995-10-28, 1995-11-03 -> 1995-11-05, 1995-11-12 -> 1995-11-12, 1996-11-03 -> 1996-11-05, 1996-12-01 -> 1996-12-02, 2001-03-29 -> 2001-03-29, 2001-10-23 -> 2001-10-23, 2002-05-03 -> 2002-05-03, 2002-10-26 -> 2002-10-26, 2003-04-28 -> 2003-04-28, 2003-11-15 -> 2003-11-16, 2004-06-13 -> 2004-06-14, 2004-10-29 -> 2004-10-29, 2005-07-31 -> 2005-07-31, 2005-11-02 -> 2005-11-02, 2006-06-19 -> 2006-06-19, 2007-01-01 -> 2008-01-01, 2008-10-17 -> 2008-10-17, 2008-11-21 -> 2008-11-21, 2009-05-27 -> 2009-05-27, 2012-02-19 -> 2012-02-20, 2013-01-01 -> 2013-02-28, 2015-12-29 -> 2016-01-01, 2018-02-11 -> 2018-02-12, 2019-05-07 -> 2019-05-13, 2020-01-24 -> 2020-01-24, 2020-04-04 -> 2020-04-04, 2020-04-30 -> 2020-04-30, 2023-11-07 -> 2023-11-12",1979-04-01 -> 2023-11-27
