Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Missing Date Ranges,Common Duration
Chroy Chang Var,1960-01-01,2002-12-31,43,TRUE,"1974-04-01 -> 1974-12-31, 1975-01-02 -> 1975-12-31, 1976-01-02 -> 1976-12-31, 1977-01-02 -> 1977-12-31, 1978-01-02 -> 1978-12-31, 1979-01-02 -> 1979-12-31, 1980-01-02 -> 1980-12-31, 1981-01-02 -> 1981-12-31, 1982-01-02 -> 1982-12-31, 1983-01-02 -> 1983-12-31, 1984-01-02 -> 1984-12-31, 1985-01-02 -> 1985-12-31, 1986-01-02 -> 1986-12-31, 1987-01-02 -> 1987-12-31, 1988-01-02 -> 1988-12-31, 1989-01-02 -> 1989-12-31, 1990-01-02 -> 1990-12-31, 1991-01-02 -> 1991-12-31, 1992-01-02 -> 1992-12-31, 1993-01-02 -> 1993-12-31, 1994-01-02 -> 1994-12-31, 1995-01-02 -> 1995-12-31, 1996-01-02 -> 1996-12-31, 1997-01-02 -> 1997-12-31, 1998-01-02 -> 1998-12-31, 1999-01-02 -> 1999-12-31",2001-01-01 -> 2002-12-31
Kompong Cham,1960-01-01,2002-12-31,43,FALSE,None,2001-01-01 -> 2002-12-31
Chaktomuk,1960-01-01,2002-12-31,43,TRUE,"1960-04-20 -> 1960-04-27, 1960-04-29 -> 1960-04-29, 1960-05-02 -> 1960-05-12, 1961-03-23 -> 1961-03-30, 1961-04-06 -> 1961-04-30, 1961-05-10 -> 1961-05-24, 1962-03-16 -> 1962-03-24, 1962-04-02 -> 1962-04-04, 1962-04-08 -> 1962-04-23, 1962-04-25 -> 1962-05-03, 1962-05-12 -> 1962-05-18, 1963-02-28 -> 1963-03-01, 1963-03-07 -> 1963-03-08, 1963-03-12 -> 1963-03-15, 1963-03-20 -> 1963-03-29, 1963-04-03 -> 1963-06-10, 1964-03-08 -> 1964-03-08, 1964-03-12 -> 1964-03-12, 1964-03-16 -> 1964-03-16, 1964-03-25 -> 1964-03-28, 1964-03-30 -> 1964-04-01, 1964-04-03 -> 1964-05-10, 1965-03-27 -> 1965-04-08, 1965-04-12 -> 1965-04-14, 1965-04-16 -> 1965-04-17, 1965-04-20 -> 1965-05-04, 1965-05-11 -> 1965-05-30, 1966-03-18 -> 1966-03-29, 1966-03-31 -> 1966-04-01, 1966-04-04 -> 1966-04-10, 1966-04-12 -> 1966-05-06, 1966-05-08 -> 1966-05-12, 1967-03-22 -> 1967-03-30, 1967-04-03 -> 1967-04-17, 1967-04-19 -> 1967-04-25, 1967-05-03 -> 1967-05-09, 1967-05-19 -> 1967-05-20, 1968-03-08 -> 1968-03-08, 1968-03-22 -> 1968-03-22, 1968-03-25 -> 1968-04-18, 1968-04-21 -> 1968-05-03, 1968-05-06 -> 1968-05-12, 1969-03-02 -> 1969-03-07, 1969-03-09 -> 1969-03-09, 1969-03-17 -> 1969-03-18, 1969-03-20 -> 1969-04-07, 1969-04-12 -> 1969-05-07, 1969-05-10 -> 1969-06-02, 1970-03-02 -> 1970-03-02, 1970-03-05 -> 1970-03-08, 1970-03-11 -> 1970-03-11, 1970-03-13 -> 1970-03-30, 1970-04-01 -> 1970-04-26, 1970-04-28 -> 1970-05-20, 1971-04-04 -> 1971-04-16, 1971-04-23 -> 1971-05-24, 1972-03-14 -> 1972-04-11, 1972-04-20 -> 1972-04-20, 1972-04-27 -> 1972-06-06, 1973-04-03 -> 1973-04-23, 1973-04-25 -> 1973-05-07, 1974-04-18 -> 1974-04-30, 1974-05-06 -> 1974-05-07, 1974-05-11 -> 1974-05-20, 1975-04-13 -> 1975-04-15, 1975-04-25 -> 1975-05-17, 1976-04-08 -> 1976-04-12, 1976-05-05 -> 1976-05-31, 1977-05-06 -> 1977-05-08, 1977-05-10 -> 1977-05-15, 1978-03-06 -> 1978-03-09, 1978-03-11 -> 1978-03-18, 1978-03-21 -> 1978-03-25, 1978-04-05 -> 1978-04-16, 1978-04-20 -> 1978-04-23, 1978-04-27 -> 1978-04-29, 1978-05-02 -> 1978-05-02, 1979-04-07 -> 1979-04-29, 1980-03-12 -> 1980-05-07, 1981-03-31 -> 1981-04-03, 1981-04-12 -> 1981-04-25, 1981-04-28 -> 1981-05-03, 1981-05-14 -> 1981-05-17, 1982-03-21 -> 1982-03-26, 1982-04-04 -> 1982-04-07, 1982-04-18 -> 1982-04-23, 1982-05-02 -> 1982-05-08, 1982-05-18 -> 1982-05-23, 1982-06-03 -> 1982-06-06, 1983-03-11 -> 1983-03-17, 1983-03-24 -> 1983-06-10, 1984-03-26 -> 1984-05-03, 1984-05-05 -> 1984-05-06, 1985-03-26 -> 1985-03-31, 1985-04-04 -> 1985-04-04, 1985-04-08 -> 1985-04-29, 1986-03-27 -> 1986-03-27, 1986-04-03 -> 1986-04-29, 1986-05-01 -> 1986-05-09, 1986-05-12 -> 1986-05-19, 1987-03-01 -> 1987-03-12, 1987-03-14 -> 1987-03-29, 1987-04-01 -> 1987-05-19, 1988-03-16 -> 1988-03-20, 1988-03-26 -> 1988-04-09, 1988-04-16 -> 1988-04-17, 1988-04-21 -> 1988-05-15, 1989-03-17 -> 1989-03-28, 1989-04-02 -> 1989-04-10, 1989-04-14 -> 1989-05-24, 1990-03-23 -> 1990-03-28, 1990-04-04 -> 1990-04-28, 1990-05-02 -> 1990-05-24, 1991-03-14 -> 1991-03-14, 1991-03-26 -> 1991-04-01, 1991-04-08 -> 1991-04-20, 1991-04-24 -> 1991-05-28, 1991-06-07 -> 1991-06-11, 1992-03-28 -> 1992-05-23, 1993-02-23 -> 1993-02-26, 1993-03-18 -> 1993-05-08, 1993-05-12 -> 1993-05-22, 1994-03-09 -> 1994-03-27, 1994-04-01 -> 1994-04-16, 1994-04-20 -> 1994-05-22, 1995-03-11 -> 1995-03-19, 1995-03-26 -> 1995-04-16, 1995-04-18 -> 1995-04-18, 1995-04-24 -> 1995-05-18, 1996-03-30 -> 1996-04-06, 1996-04-30 -> 1996-05-05, 1997-05-15 -> 1997-05-21, 1998-03-10 -> 1998-05-26, 1999-03-06 -> 1999-04-19, 1999-04-23 -> 1999-04-30, 2000-04-03 -> 2000-04-04, 2000-04-15 -> 2000-04-16, 2001-04-19 -> 2001-04-24, 2001-05-03 -> 2001-05-05, 2001-05-14 -> 2001-05-14, 2002-04-07 -> 2002-04-13, 2002-05-06 -> 2002-05-13",2001-01-01 -> 2002-12-31
Chantangoy,1960-02-06,2002-12-31,43,TRUE,"1960-02-07 -> 1960-02-24, 1960-02-26 -> 1960-03-09, 1961-01-01 -> 1992-12-31, 1993-03-28 -> 1993-10-31",2001-01-01 -> 2002-12-31
Ban Kamphun,1960-01-01,2002-12-31,43,TRUE,"1964-06-26 -> 1964-08-22, 1965-05-10 -> 1965-05-18, 1970-03-29 -> 1993-11-30, 1998-01-01 -> 1998-05-29, 1998-06-03 -> 1998-06-30",2001-01-01 -> 2002-12-31
Battambang,1962-04-03,2002-12-31,41,TRUE,"1962-04-05 -> 1962-04-05, 1962-07-15 -> 1962-07-15, 1962-08-08 -> 1962-08-08, 1962-09-08 -> 1962-09-08, 1962-12-06 -> 1962-12-06, 1963-01-10 -> 1963-01-10, 1963-02-13 -> 1963-02-13, 1963-02-17 -> 1963-02-17, 1963-03-04 -> 1963-03-05, 1963-03-26 -> 1963-03-26, 1963-04-01 -> 1997-03-13, 1997-03-18 -> 1997-03-21, 1997-03-23 -> 1997-03-24, 1997-03-28 -> 1997-03-30, 1997-04-05 -> 1997-04-06, 1997-04-13 -> 1997-04-14, 1997-07-01 -> 1997-07-01, 1997-07-20 -> 1997-07-22, 1997-08-03 -> 1997-08-03, 1997-08-07 -> 1997-08-08, 1997-08-28 -> 1997-08-28, 1997-09-02 -> 1997-09-02, 1997-09-18 -> 1997-09-19, 1997-09-28 -> 1997-09-29, 1997-10-13 -> 1997-10-13, 1998-02-15 -> 1998-02-16, 1998-02-26 -> 1998-02-26, 1998-03-07 -> 1998-03-07, 1998-04-09 -> 1998-04-10, 1998-05-04 -> 1998-05-04, 1998-11-26 -> 1998-11-27, 1999-01-13 -> 1999-01-14, 1999-02-03 -> 1999-02-03, 1999-02-06 -> 1999-02-07, 1999-03-24 -> 1999-03-24, 1999-04-02 -> 1999-04-04, 1999-04-14 -> 1999-04-15, 1999-05-02 -> 1999-05-03, 1999-05-05 -> 1999-05-05, 1999-05-29 -> 1999-05-29, 1999-06-08 -> 1999-06-08, 1999-07-28 -> 1999-07-29, 1999-10-17 -> 1999-10-17, 1999-11-03 -> 1999-11-09, 1999-11-13 -> 1999-11-15, 2000-02-28 -> 2000-03-01, 2000-03-09 -> 2000-03-10, 2000-05-10 -> 2000-05-10, 2000-07-19 -> 2000-07-21, 2000-08-19 -> 2000-08-19, 2000-09-25 -> 2000-09-25, 2000-10-15 -> 2000-10-16, 2000-10-18 -> 2000-10-23, 2000-12-03 -> 2000-12-03, 2001-01-20 -> 2001-01-20, 2001-01-26 -> 2001-01-26, 2001-01-31 -> 2001-02-04, 2001-02-14 -> 2001-02-16, 2001-03-01 -> 2001-03-01, 2001-03-08 -> 2001-03-12, 2001-03-16 -> 2001-03-16, 2001-03-21 -> 2001-03-24, 2001-03-26 -> 2001-03-28, 2001-03-30 -> 2001-03-30, 2001-04-01 -> 2001-04-01, 2001-04-07 -> 2001-04-07, 2001-08-14 -> 2001-08-14, 2001-08-21 -> 2001-08-21, 2001-10-25 -> 2001-10-25, 2001-11-03 -> 2001-11-03, 2001-12-31 -> 2001-12-31, 2002-01-20 -> 2002-01-20, 2002-02-27 -> 2002-02-27, 2002-03-04 -> 2002-03-04, 2002-03-10 -> 2002-03-12, 2002-03-29 -> 2002-03-30, 2002-04-05 -> 2002-04-05, 2002-04-11 -> 2002-04-11",2001-01-01 -> 2002-12-31
Vientiane KM4,1913-01-01,2006-12-31,94,FALSE,None,2001-01-01 -> 2002-12-31
Ban Pak Kanhoung,1963-01-01,2005-12-31,43,TRUE,"1969-12-01 -> 1969-12-30, 1975-05-01 -> 1975-12-30, 1977-01-01 -> 1988-12-30",2001-01-01 -> 2002-12-31
Ban Na Luang,1987-01-01,2005-12-31,19,FALSE,None,2001-01-01 -> 2002-12-31
Chiang Saen,1960-01-01,2023-11-27,64,TRUE,"2009-12-07 -> 2009-12-07, 2023-11-09 -> 2023-11-12",2001-01-01 -> 2002-12-31
