Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,014901,Sediment Concentration,Measured DSMP,2011-06-06T17:00Z,62.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-07-08T17:00Z,348.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-07-15T17:00Z,147.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-07-21T17:00Z,222.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-07-25T17:00Z,204.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-08-04T17:00Z,321.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-08-10T17:00Z,339.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-08-21T17:00Z,278.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-08-27T17:00Z,226.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-09-04T17:00Z,193.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-09-10T17:00Z,200.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-09-17T17:00Z,255.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-09-22T17:00Z,230.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-10-04T17:00Z,318.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-10-11T17:00Z,206.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-10-20T17:00Z,193.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-10-26T17:00Z,142.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-11-14T17:00Z,99.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-11-23T17:00Z,108.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-12-10T17:00Z,72.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2011-12-24T17:00Z,17.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-08-09T17:00Z,247.36476871381706,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-08-15T17:00Z,106.91650089627282,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-08-21T17:00Z,260.33624256302835,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-08-28T17:00Z,239.677831954458,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-09-01T17:00Z,169.26375626392786,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-09-11T17:00Z,257.6625487501309,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-09-18T17:00Z,223.02256347212642,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-09-24T17:00Z,175.487818423368,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-10-08T17:00Z,99.57954558697789,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-10-19T17:00Z,106.83795892729253,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-10-25T17:00Z,84.4854607784468,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-10-29T17:00Z,103.9921464768424,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Sediment Concentration,Measured DSMP,2012-11-05T17:00Z,45.2016175090089,mg/l,O,Raw - Not Yet Reviewed,Unverified data
