Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,012001,Sediment Concentration,Measured DSMP,2009-01-08T17:00Z,55.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-01-22T17:00Z,44.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-02-05T17:00Z,59.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-02-19T17:00Z,49.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-03-05T17:00Z,37.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-03-19T17:00Z,51.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-04-19T17:00Z,48.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-04-23T17:00Z,94.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-04-30T17:00Z,95.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-05-14T17:00Z,107.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-05-21T17:00Z,18.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-05-28T17:00Z,84.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-06-04T17:00Z,111.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-06-11T17:00Z,54.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-06-25T17:00Z,82.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-07-09T17:00Z,180.48,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-07-16T17:00Z,137.022,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-07-23T17:00Z,104.53000000000002,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-07-30T17:00Z,81.52799999999999,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-08-06T17:00Z,130.426,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-08-13T17:00Z,88.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-08-20T17:00Z,139.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-08-27T17:00Z,83.698,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-09-03T17:00Z,196.964,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-09-10T17:00Z,160.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-09-17T17:00Z,129.28199999999998,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-09-24T17:00Z,93.864,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-10-01T17:00Z,78.562,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-10-08T17:00Z,142.254,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-10-15T17:00Z,69.58399999999999,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-10-29T17:00Z,75.954,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-11-05T17:00Z,84.67800000000001,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-11-12T17:00Z,40.714,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-11-19T17:00Z,56.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-11-26T17:00Z,30.240000000000002,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-12-03T17:00Z,32.726,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-12-10T17:00Z,65.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-12-17T17:00Z,43.135999999999996,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2009-12-24T17:00Z,40.594,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-01-07T17:00Z,50.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-01-21T17:00Z,30.64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-02-11T17:00Z,25.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-02-25T17:00Z,20.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-03-04T17:00Z,16.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-03-11T17:00Z,16.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-03-25T17:00Z,17.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-04-08T17:00Z,24.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-04-22T17:00Z,29.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-04-29T17:00Z,36.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-05-06T17:00Z,47.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-05-13T17:00Z,53.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-05-20T17:00Z,46.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-05-26T17:00Z,59.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured DSMP,2010-06-03T17:00Z,51.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
