Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013402,Sediment Concentration,Measured DSMP,2009-01-05T17:00Z,87.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-01-19T17:00Z,71.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-02-02T17:00Z,85.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-02-23T17:00Z,184.48,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-03-02T17:00Z,36.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-03-23T17:00Z,10.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-04-07T17:00Z,26.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-04-27T17:00Z,112.83,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-05-05T17:00Z,158.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-05-12T17:00Z,67.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-05-18T17:00Z,65.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-05-25T17:00Z,301.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-06-04T17:00Z,244.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-06-08T17:00Z,207.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-06-15T17:00Z,257.598,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-06-22T17:00Z,204.468,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-07-09T17:00Z,664.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-07-13T17:00Z,1264.732,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-07-20T17:00Z,554.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-07-28T17:00Z,347.628,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-08-03T17:00Z,305.284,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-08-10T17:00Z,430.168,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-08-17T17:00Z,473.914,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-08-24T17:00Z,557.576,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-09-07T17:00Z,667.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-09-14T17:00Z,648.386,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-09-21T17:00Z,408.324,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-09-28T17:00Z,530.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-10-05T17:00Z,371.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured DSMP,2009-10-12T17:00Z,333.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
