Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013801,Sediment Concentration,Measured DSMP,2009-01-07T17:00Z,101.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-01-21T17:00Z,61.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-02-11T17:00Z,44.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-02-25T17:00Z,31.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-03-11T17:00Z,37.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-03-25T17:00Z,21.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-04-08T17:00Z,64.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-04-22T17:00Z,68.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-05-06T17:00Z,25.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-05-13T17:00Z,5.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-05-20T17:00Z,81.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-05-27T17:00Z,124.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-06-03T17:00Z,95.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-06-10T17:00Z,115.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-06-17T17:00Z,161.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-06-24T17:00Z,114.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured DSMP,2009-07-08T17:00Z,397.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
