Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,012001,Sediment Concentration,Measured,1972-04-20T00:00Z,175.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-01T00:00Z,206.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-08T00:00Z,453.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-15T00:00Z,240.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-21T00:00Z,248.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-23T00:00Z,167.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-26T00:00Z,205.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-06-30T00:00Z,243.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-03T00:00Z,250.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-07T00:00Z,498.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-10T00:00Z,157.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-14T00:00Z,149.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-17T00:00Z,219.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-21T00:00Z,635.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-24T00:00Z,584.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-26T00:00Z,1150.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-28T00:00Z,366.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-07-31T00:00Z,510.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-02T00:00Z,901.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-04T00:00Z,1990.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-07T00:00Z,1640.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-09T00:00Z,1210.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-16T00:00Z,837.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-18T00:00Z,732.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-21T00:00Z,707.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-23T00:00Z,869.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-08-25T00:00Z,982.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-11T00:00Z,455.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-13T00:00Z,785.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-15T00:00Z,635.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-18T00:00Z,471.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-20T00:00Z,557.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-22T00:00Z,1360.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-25T00:00Z,2150.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-09-29T00:00Z,406.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-02T00:00Z,891.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-04T00:00Z,453.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-06T00:00Z,921.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-09T00:00Z,1030.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-11T00:00Z,672.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-16T00:00Z,883.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-26T00:00Z,236.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-27T00:00Z,359.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-10-30T00:00Z,181.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-01T00:00Z,1780.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-03T00:00Z,310.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-06T00:00Z,216.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-15T00:00Z,788.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-17T00:00Z,688.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-11-29T00:00Z,365.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-01T00:00Z,112.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-04T00:00Z,263.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-06T00:00Z,975.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-08T00:00Z,975.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-13T00:00Z,559.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-15T00:00Z,346.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-21T00:00Z,242.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1972-12-29T00:00Z,439.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1973-01-05T00:00Z,142.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,012001,Sediment Concentration,Measured,1973-01-09T00:00Z,110.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
