Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,10501,Sediment Concentration,Measured,1962-02-22T00:00Z,32,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1962-03-13T00:00Z,43,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1962-03-28T00:00Z,19,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1962-04-11T00:00Z,4,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1962-04-26T00:00Z,154,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-02-20T00:00Z,91.68,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-02-23T00:00Z,89.32,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-03-04T00:00Z,69.36,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-03-11T00:00Z,66.29,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-03-14T00:00Z,65.6,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-03-23T00:00Z,53.24,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-03-25T00:00Z,89.88,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-05-03T00:00Z,360,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-05-27T00:00Z,166,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-03T00:00Z,233,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-05T00:00Z,209,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-07T00:00Z,183,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-08T00:00Z,135,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-12T00:00Z,596,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-14T00:00Z,679,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-17T00:00Z,481,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-06-21T00:00Z,271,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-01T00:00Z,973,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-08T00:00Z,1220,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-11T00:00Z,919,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-13T00:00Z,1540,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-27T00:00Z,489,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-07-29T00:00Z,647,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-08-15T00:00Z,1600,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,10501,Sediment Concentration,Measured,1968-08-20T00:00Z,648,ppm,O,Raw - Not Yet Reviewed,Unverified data
