Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,12001,Sediment Concentration,Measured,1972-04-20T00:00Z,175,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-01T00:00Z,206,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-08T00:00Z,453,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-15T00:00Z,240,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-21T00:00Z,248,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-23T00:00Z,167,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-26T00:00Z,205,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-06-30T00:00Z,243,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-03T00:00Z,250,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-07T00:00Z,498,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-10T00:00Z,157,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-14T00:00Z,149,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-17T00:00Z,219,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-21T00:00Z,635,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-24T00:00Z,584,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-26T00:00Z,1150,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-28T00:00Z,366,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-07-31T00:00Z,510,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-02T00:00Z,901,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-04T00:00Z,1990,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-07T00:00Z,1640,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-09T00:00Z,1210,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-16T00:00Z,837,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-18T00:00Z,732,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-21T00:00Z,707,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-23T00:00Z,869,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-08-25T00:00Z,982,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-11T00:00Z,455,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-13T00:00Z,785,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-15T00:00Z,635,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-18T00:00Z,471,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-20T00:00Z,557,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-22T00:00Z,1360,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-25T00:00Z,2150,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-09-29T00:00Z,406,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-02T00:00Z,891,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-04T00:00Z,453,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-06T00:00Z,921,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-09T00:00Z,1030,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-11T00:00Z,672,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-16T00:00Z,883,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-26T00:00Z,236,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-27T00:00Z,359,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-10-30T00:00Z,181,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-11-01T00:00Z,1780,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-11-03T00:00Z,310,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-11-06T00:00Z,216,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,12001,Sediment Concentration,Measured,1972-11-15T00:00Z,788,ppm,O,Raw - Not Yet Reviewed,Unverified data
