Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,13101,Sediment Concentration,Measured,1972-04-07T00:00Z,166,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-04-12T00:00Z,31,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-04-14T00:00Z,31,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-04-17T00:00Z,100,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-04-21T00:00Z,34,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-04-26T00:00Z,48,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-05-05T00:00Z,39,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-05-24T00:00Z,62,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-05-29T00:00Z,59,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-06-07T00:00Z,53,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-06-12T00:00Z,98,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-06-21T00:00Z,108,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-06-26T00:00Z,80,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-06-30T00:00Z,59,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-05T00:00Z,188,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-10T00:00Z,107,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-14T00:00Z,330,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-19T00:00Z,219,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-26T00:00Z,210,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-07-31T00:00Z,246,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-08-09T00:00Z,402,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-08-18T00:00Z,494,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-08-23T00:00Z,876,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-11T00:00Z,313,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-15T00:00Z,313,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-17T00:00Z,3,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-20T00:00Z,367,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-25T00:00Z,223,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-09-29T00:00Z,135,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-10-09T00:00Z,898,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-10-23T00:00Z,383,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-11-06T00:00Z,143,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-11-10T00:00Z,132,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-11-15T00:00Z,113,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-11-24T00:00Z,237,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-11-29T00:00Z,130,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-12-04T00:00Z,128,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-12-13T00:00Z,241,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-12-17T00:00Z,384,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-12-21T00:00Z,150,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1972-12-28T00:00Z,81,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-01-02T00:00Z,56,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-01-06T00:00Z,94,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-01-16T00:00Z,129,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-01-30T00:00Z,48,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-03-11T00:00Z,29,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-03-16T00:00Z,47,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-03-19T00:00Z,39,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-05-15T00:00Z,48,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-05-21T00:00Z,69,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-05-29T00:00Z,84,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-06-18T00:00Z,82,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-06-26T00:00Z,67,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-06T00:00Z,211,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-10T00:00Z,346,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-16T00:00Z,410,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-20T00:00Z,533,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-25T00:00Z,205,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-07-30T00:00Z,115,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-08-05T00:00Z,681,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-08-13T00:00Z,602,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-08-31T00:00Z,941,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-10-03T00:00Z,478,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-10-08T00:00Z,432,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-10-17T00:00Z,664,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-10-26T00:00Z,276,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-10-31T00:00Z,165,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-05T00:00Z,301,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-08T00:00Z,115,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-14T00:00Z,157,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-21T00:00Z,224,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-26T00:00Z,634,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-11-30T00:00Z,175,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-12-13T00:00Z,91,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-12-20T00:00Z,104,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1973-12-27T00:00Z,89,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-01-10T00:00Z,46,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-01-13T00:00Z,40,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-01-17T00:00Z,51,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-01-31T00:00Z,48,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-02-22T00:00Z,28,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-04-11T00:00Z,138,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-05-09T00:00Z,82,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-05-13T00:00Z,74,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-06-20T00:00Z,233,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-06-28T00:00Z,242,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-07-11T00:00Z,515,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-07-18T00:00Z,250,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-07-25T00:00Z,246,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-08-08T00:00Z,440,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-08-23T00:00Z,819,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-09-19T00:00Z,691,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-09-26T00:00Z,204,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-10-10T00:00Z,243,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-10-17T00:00Z,389,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-10-24T00:00Z,240,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-10-31T00:00Z,288,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-11-19T00:00Z,205,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-11-26T00:00Z,242,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-12-10T00:00Z,156,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1974-12-24T00:00Z,195,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-02-25T00:00Z,78,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-03-18T00:00Z,50,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-03-25T00:00Z,87,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-04-22T00:00Z,26,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-04-29T00:00Z,44,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-05-20T00:00Z,27,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-05-27T00:00Z,67,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-06-10T00:00Z,161,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-06-24T00:00Z,268,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-07-22T00:00Z,692,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-07-29T00:00Z,752,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-04T00:00Z,316,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-07T00:00Z,329,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-11T00:00Z,292,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-21T00:00Z,300,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-25T00:00Z,168,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,1975-08-28T00:00Z,209,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-01-16T00:00Z,36,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-02-14T00:00Z,26,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-03-22T00:00Z,22,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-04-17T00:00Z,16,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-05-17T00:00Z,22,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-06-14T00:00Z,56,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-07-17T00:00Z,75,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-08-15T00:00Z,463,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-09-18T00:00Z,89,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-10-16T00:00Z,244,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-11-13T00:00Z,105,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2006-12-12T00:00Z,36,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-01-07T00:00Z,26,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-02-13T00:00Z,19,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-03-13T00:00Z,26,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-04-18T00:00Z,78,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-05-14T00:00Z,24,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-06-18T00:00Z,110,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-07-16T00:00Z,82,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-08-14T00:00Z,293,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-09-17T00:00Z,222,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-10-15T00:00Z,259,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-11-13T00:00Z,137,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured,2007-12-17T00:00Z,73,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-01-08T17:00Z,30.61310913,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-01-22T17:00Z,42.73899189,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-02-18T17:00Z,20.67877466,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-02-19T17:00Z,14.47970844,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-03-04T17:00Z,8.113055879,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-03-18T17:00Z,12.81474515,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-04-01T17:00Z,7.404151484,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-04-22T17:00Z,14.30872455,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-05-13T17:00Z,12.1738532,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-05-20T17:00Z,30.11385142,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-07-01T17:00Z,96.8812087,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-07-08T17:00Z,80.80006816,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-07-15T17:00Z,136.7784962,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-07-22T17:00Z,80.36051661,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-08-06T17:00Z,447.4804672,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-08-14T17:00Z,422.9293238,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-08-20T17:00Z,401.9163614,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-08-27T17:00Z,345.4696181,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-09-02T17:00Z,237.8086715,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-09-09T17:00Z,181.4393171,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-09-16T17:00Z,165.0390787,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-09-23T17:00Z,270.5080012,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,13101,Sediment Concentration,Measured DSMP,2012-09-30T17:00Z,169.887687,mg/l,O,Raw - Not Yet Reviewed,Unverified data
