STCODE,STNAME,COUNTRY,LONGDEC,LAT_DEC,ALT,X_UTM,Y_UTM
170105,Chiang Khan,Thailand,101.67,17.90,213,147166,1982116
200002,Chiang Saen,Thailand,100.10,20.27,369,-12093,2248777
150503,Khong Chiam,Thailand,105.50,15.32,90,553666,1693646
120504,Kompong Cham,Cambodia,105.45,12.00,-999,548980,1326488
120603,Kratie,Cambodia,106.03,12.48,23,611913,1379740
190202,Luang Prabang,Lao PDR,102.13,19.88,999,199500,2200584
160401,Mukdahan,Thailand,104.73,16.53,138,471194,1827435
170403,Nakhon Phanom,Thailand,104.33,17.50,140,428883,1934838
170206,Nong Khai,Thailand,102.75,17.87,173,261618,1977080
150504,Pakse,Lao PDR,105.78,15.12,93,583800,1671614
110411,Phnom Penh (Ville),Cambodia,104.83,11.60,11,481470,1282227
130501,Stung Treng,Cambodia,105.97,13.52,54,604955,1494730
170203,Vientiane,Lao PDR,102.52,17.95,170,237356,1986246
