Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Chroy Chang Var,1960-01-01,2002-12-31,43,TRUE,1976-05-03 -> 2002-12-31
Kompong Cham,1960-01-01,2002-12-31,43,FALSE,1976-05-03 -> 2002-12-31
Chaktomuk,1960-01-01,2002-12-31,43,TRUE,1976-05-03 -> 2002-12-31
Chantangoy,1960-02-06,2002-12-31,43,TRUE,1976-05-03 -> 2002-12-31
Ban Kamphun,1960-01-01,2002-12-31,43,TRUE,1976-05-03 -> 2002-12-31
Battambang,1962-04-03,2002-12-31,41,TRUE,1976-05-03 -> 2002-12-31
Vientiane KM4,1913-01-01,2006-12-31,94,FALSE,1976-05-03 -> 2002-12-31
Ban Pak Kanhoung,1963-01-01,2005-12-31,43,TRUE,1976-05-03 -> 2002-12-31
Chiang Saen,1960-01-01,2023-11-27,64,TRUE,1976-05-03 -> 2002-12-31
Ban Huai Yano Mai,1975-04-01,2003-12-31,29,TRUE,1976-05-03 -> 2002-12-31
Ban Tha Ton,1969-04-01,2005-12-31,37,TRUE,1976-05-03 -> 2002-12-31
Ban Tha Mai Liam,1969-04-01,2003-12-31,35,TRUE,1976-05-03 -> 2002-12-31
Ban Pak Huai,1967-01-01,2007-12-31,41,TRUE,1976-05-03 -> 2002-12-31
Yasothom,1952-01-01,2003-12-31,52,TRUE,1976-05-03 -> 2002-12-31
Ban Chot,1975-04-01,2003-12-31,29,TRUE,1976-05-03 -> 2002-12-31
Ban Nong Kiang,1975-04-01,2003-12-31,29,TRUE,1976-05-03 -> 2002-12-31
Ban Tad Ton,1976-05-03,2003-12-28,28,TRUE,1976-05-03 -> 2002-12-31
Cau 14 (Buon Bur),1967-04-02,2006-12-31,40,TRUE,1976-05-03 -> 2002-12-31
Stung Treng,1910-01-01,2023-11-27,114,TRUE,1976-05-03 -> 2002-12-31
Kratie,1924-01-01,2023-11-27,100,TRUE,1976-05-03 -> 2002-12-31
Lumphat,1965-01-01,2023-11-27,59,TRUE,1976-05-03 -> 2002-12-31
Pakse,1923-01-01,2023-11-27,101,TRUE,1976-05-03 -> 2002-12-31
Ban Kengdone,1960-02-16,2023-10-28,64,TRUE,1976-05-03 -> 2002-12-31
Chiang Khan,1967-01-01,2023-11-27,57,TRUE,1976-05-03 -> 2002-12-31
Nong Khai,1969-01-01,2023-11-27,55,TRUE,1976-05-03 -> 2002-12-31
Nakhon Phanom,1924-01-01,2023-11-27,100,TRUE,1976-05-03 -> 2002-12-31
Mukdahan,1923-01-01,2023-11-27,101,TRUE,1976-05-03 -> 2002-12-31
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,1976-05-03 -> 2002-12-31
Kontum,1967-01-01,2013-05-05,47,TRUE,1976-05-03 -> 2002-12-31
