Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Phnom Penh (Ville),1963-01-01,2023-06-07,61,TRUE,1984-12-31 -> 2005-12-31
Kompong Cham,1920-01-01,2017-12-31,98,TRUE,1984-12-31 -> 2005-12-31
Kratie,1920-01-01,2018-12-31,99,TRUE,1984-12-31 -> 2005-12-31
Stung Treng,1920-02-01,2018-12-31,99,TRUE,1984-12-31 -> 2005-12-31
Lumphat,1961-01-01,2005-12-31,45,TRUE,1984-12-31 -> 2005-12-31
Pakse,1929-01-01,2018-12-31,90,TRUE,1984-12-31 -> 2005-12-31
Vientiane,1920-01-01,2018-12-31,99,TRUE,1984-12-31 -> 2005-12-31
Luang Prabang,1920-01-01,2018-12-31,99,TRUE,1984-12-31 -> 2005-12-31
Yasothon,1965-12-31,2005-12-31,41,TRUE,1984-12-31 -> 2005-12-31
Khong Chiam,1976-12-31,2018-12-31,43,TRUE,1984-12-31 -> 2005-12-31
Mukdahan,1949-12-31,2018-12-31,70,TRUE,1984-12-31 -> 2005-12-31
Chiang Khan,1965-12-31,2018-12-31,54,TRUE,1984-12-31 -> 2005-12-31
Nong Khai,1951-12-31,2018-12-31,68,TRUE,1984-12-31 -> 2005-12-31
Nakhon Phanom,1952-12-31,2018-12-31,67,TRUE,1984-12-31 -> 2005-12-31
Chiang Saen,1965-12-31,2018-12-31,54,TRUE,1984-12-31 -> 2005-12-31
Ca Mau,1980-01-01,2012-12-31,33,FALSE,1984-12-31 -> 2005-12-31
Vi Thanh,1980-01-01,2012-12-31,33,TRUE,1984-12-31 -> 2005-12-31
Phung Hiep,1980-01-01,2012-12-31,33,TRUE,1984-12-31 -> 2005-12-31
Dai Ngai,1980-01-01,2012-12-31,33,TRUE,1984-12-31 -> 2005-12-31
Chau Doc,1920-01-01,2007-12-19,88,TRUE,1984-12-31 -> 2005-12-31
Can Tho,1920-01-01,2007-12-31,88,TRUE,1984-12-31 -> 2005-12-31
My Tho,1984-12-31,2006-12-31,23,FALSE,1984-12-31 -> 2005-12-31
Dak Nong,1979-12-31,2023-11-27,44,TRUE,1984-12-31 -> 2005-12-31
Buon Me Thuoc,1927-02-01,2023-11-27,97,TRUE,1984-12-31 -> 2005-12-31
Buon Ho,1984-12-31,2023-11-27,39,TRUE,1984-12-31 -> 2005-12-31
Pleiku,1927-06-01,2023-11-27,97,TRUE,1984-12-31 -> 2005-12-31
Dak To,1984-12-31,2023-11-27,39,TRUE,1984-12-31 -> 2005-12-31
Ban Don,1979-12-31,2023-11-27,44,TRUE,1984-12-31 -> 2005-12-31
