Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Stung Treng,2004-10-14,2021-12-14,18,TRUE,2004-10-14 -> 2021-12-14
Kratie,1995-07-14,2021-12-14,27,TRUE,2004-10-14 -> 2021-12-14
Kompong Cham,1993-08-14,2021-12-14,29,TRUE,2004-10-14 -> 2021-12-14
Phnom Penh Port,1995-07-14,2021-12-14,27,TRUE,2004-10-14 -> 2021-12-14
Luang Prabang,1985-05-14,2021-12-14,37,TRUE,2004-10-14 -> 2021-12-14
Vientiane KM4,1985-07-14,2021-12-14,37,TRUE,2004-10-14 -> 2021-12-14
Pakse,1986-01-14,2021-12-14,36,TRUE,2004-10-14 -> 2021-12-14
Chiang Saen,1985-04-14,2021-12-14,37,TRUE,2004-10-14 -> 2021-12-14
Nakhon Phanom,1985-06-14,2021-12-14,37,TRUE,2004-10-14 -> 2021-12-14
Khong Chiam,1985-06-14,2021-12-14,37,TRUE,2004-10-14 -> 2021-12-14
