Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Common Duration
Stung Treng,1910-01-01,2023-11-27,114,TRUE,1985-01-01 -> 2023-10-28
Kratie,1933-01-08,2023-11-27,91,TRUE,1985-01-01 -> 2023-10-28
Kompong Cham,1930-01-01,2023-11-27,94,TRUE,1985-01-01 -> 2023-10-28
Phnom Penh Port,1960-01-01,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Chaktomuk,1960-01-01,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Lumphat,1965-01-01,2023-11-27,59,TRUE,1985-01-01 -> 2023-10-28
Luang Prabang,1960-01-01,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Vientiane KM4,1923-01-01,2023-11-27,101,TRUE,1985-01-01 -> 2023-10-28
Pakse,1960-01-01,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Ban Pak Kanhoung,1963-01-01,2023-11-27,61,TRUE,1985-01-01 -> 2023-10-28
Ban Kengdone,1960-02-16,2023-10-28,64,TRUE,1985-01-01 -> 2023-10-28
Chiang Saen,1960-04-30,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Chiang Khan,1965-01-01,2023-11-27,59,TRUE,1985-01-01 -> 2023-10-28
Nong Khai,1965-01-01,2023-11-27,59,TRUE,1985-01-01 -> 2023-10-28
Nakhon Phanom,1972-04-01,2023-11-27,52,TRUE,1985-01-01 -> 2023-10-28
Mukdahan,1960-01-01,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,1985-01-01 -> 2023-10-28
Tan Chau,1979-04-01,2023-11-27,45,TRUE,1985-01-01 -> 2023-10-28
My Thuan,1960-06-30,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Chau Doc,1960-06-29,2023-11-27,64,TRUE,1985-01-01 -> 2023-10-28
Can Tho,1979-04-01,2023-11-27,45,TRUE,1985-01-01 -> 2023-10-28
Kontum,1966-01-01,2023-11-27,58,TRUE,1985-01-01 -> 2023-10-28
Duc Xuyen,1985-01-01,2023-11-27,39,TRUE,1985-01-01 -> 2023-10-28
Vam Nao,1985-01-01,2023-11-27,39,TRUE,1985-01-01 -> 2023-10-28
