Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,014501,Sediment Concentration,Measured DSMP,2011-06-07T17:00Z,52.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-07-07T17:00Z,360.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-07-14T17:00Z,133.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-07-20T17:00Z,208.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-07-26T17:00Z,217.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-08-06T17:00Z,319.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-08-09T17:00Z,387.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-08-23T17:00Z,230.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-08-26T17:00Z,223.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-09-06T17:00Z,190.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-09-09T17:00Z,220.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-09-19T17:00Z,278.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-09-22T17:00Z,278.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-10-07T17:00Z,235.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-10-10T17:00Z,211.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-10-21T17:00Z,198.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-10-25T17:00Z,118.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-11-10T17:00Z,132.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-11-25T17:00Z,43.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-12-09T17:00Z,25.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2011-12-23T17:00Z,18.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-01-14T17:00Z,15.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-01-24T17:00Z,12.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-02-10T17:00Z,8.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-02-21T17:00Z,15.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-03-13T17:00Z,11.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-03-22T17:00Z,12.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-04-18T17:00Z,9.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-04-28T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-05-15T17:00Z,20.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-05-23T17:00Z,21.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-08-10T17:00Z,231.69160177211106,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-08-16T17:00Z,302.3802492665582,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-08-22T17:00Z,188.17426251702489,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-08-29T17:00Z,462.8676496328224,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-08-31T17:00Z,160.06413158247864,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014501,Sediment Concentration,Measured DSMP,2012-09-12T17:00Z,256.0178338106075,mg/l,O,Raw - Not Yet Reviewed,Unverified data
