Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013402,Sediment Concentration,Measured,1962-01-04T00:00Z,56.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-01-11T00:00Z,41.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-01-12T00:00Z,90.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-01-18T00:00Z,56.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-01-27T00:00Z,75.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-01-30T00:00Z,65.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-06T00:00Z,36.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-09T00:00Z,46.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-13T00:00Z,38.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-14T00:00Z,14.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-16T00:00Z,48.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-02-21T00:00Z,3.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-09T00:00Z,7.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-16T00:00Z,21.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-21T00:00Z,11.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-25T00:00Z,21.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-27T00:00Z,24.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-03-30T00:00Z,32.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-02T00:00Z,35.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-14T00:00Z,457.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-16T00:00Z,42.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-20T00:00Z,24.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-23T00:00Z,35.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-04-27T00:00Z,36.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-02T00:00Z,26.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-10T00:00Z,35.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-17T00:00Z,177.7,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-23T00:00Z,153.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-26T00:00Z,54.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-28T00:00Z,103.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013402,Sediment Concentration,Measured,1962-05-29T00:00Z,91.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
