Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,020101,Total Suspended Solids,Measured,1995-07-14T17:00Z,148.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1995-08-14T17:00Z,290.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1995-09-14T17:00Z,75.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1995-10-14T17:00Z,13.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1995-11-14T17:00Z,44.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1995-12-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-01-14T17:00Z,29.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-02-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-03-14T17:00Z,15.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-04-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-05-14T17:00Z,34.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-06-14T17:00Z,5.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-07-14T17:00Z,77.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-08-14T17:00Z,284.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-09-14T17:00Z,52.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-10-14T17:00Z,98.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-11-14T17:00Z,136.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1996-12-14T17:00Z,126.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-01-14T17:00Z,84.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-02-14T17:00Z,11.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-03-14T17:00Z,17.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-04-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-05-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-06-14T17:00Z,54.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-07-14T17:00Z,240.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-08-14T17:00Z,74.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-09-14T17:00Z,135.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-10-14T17:00Z,31.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-11-14T17:00Z,32.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1997-12-14T17:00Z,19.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-01-14T17:00Z,38.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-02-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-03-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-04-14T17:00Z,2.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-05-14T17:00Z,3.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1998-06-14T17:00Z,42.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1999-09-14T17:00Z,192.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1999-10-14T17:00Z,45.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,1999-11-14T17:00Z,37.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-01-14T17:00Z,50.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-02-14T17:00Z,28.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-03-14T17:00Z,23.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-04-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-05-14T17:00Z,136.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-06-14T17:00Z,86.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-07-14T17:00Z,208.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-08-14T17:00Z,155.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-09-14T17:00Z,71.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-10-14T17:00Z,136.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-11-14T17:00Z,97.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2000-12-14T17:00Z,61.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-01-14T17:00Z,58.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-02-14T17:00Z,30.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-03-14T17:00Z,23.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-04-14T17:00Z,53.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-05-14T17:00Z,34.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-06-14T17:00Z,104.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-07-14T17:00Z,232.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-08-14T17:00Z,201.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-09-14T17:00Z,50.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-10-14T17:00Z,20.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-11-14T17:00Z,43.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2001-12-14T17:00Z,36.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-01-14T17:00Z,50.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-02-14T17:00Z,12.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-03-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-04-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-05-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-06-14T17:00Z,204.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-07-14T17:00Z,344.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-08-14T17:00Z,138.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-09-14T17:00Z,31.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-10-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-11-14T17:00Z,47.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2002-12-14T17:00Z,53.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2003-01-14T17:00Z,40.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2003-02-14T17:00Z,11.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2003-03-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2003-04-14T17:00Z,23.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,020101,Total Suspended Solids,Measured,2003-05-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
