Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
LA,011901,Total Suspended Solids,Measured,1985-07-14T17:00Z,1502.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1985-08-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1985-10-14T17:00Z,32.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-01-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-02-14T17:00Z,70.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-03-14T17:00Z,25.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-04-14T17:00Z,50.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-05-14T17:00Z,220.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-06-14T17:00Z,414.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-07-14T17:00Z,254.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-08-14T17:00Z,950.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-09-14T17:00Z,1268.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-10-14T17:00Z,3204.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-11-14T17:00Z,694.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1986-12-14T17:00Z,272.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-01-14T17:00Z,288.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-02-14T17:00Z,72.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-03-14T17:00Z,284.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-09-14T17:00Z,1092.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-10-14T17:00Z,520.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-11-14T17:00Z,1272.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1987-12-14T17:00Z,258.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-01-14T17:00Z,110.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-02-14T17:00Z,36.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-03-14T17:00Z,48.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-04-14T17:00Z,360.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-05-14T17:00Z,468.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-06-14T17:00Z,260.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-07-14T17:00Z,5716.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-08-14T17:00Z,4074.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-09-14T17:00Z,2754.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-10-14T17:00Z,988.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-11-14T17:00Z,360.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1988-12-14T17:00Z,104.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1989-01-14T17:00Z,72.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1989-02-14T17:00Z,25.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1989-03-14T17:00Z,9.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1989-04-14T17:00Z,1.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,011901,Total Suspended Solids,Measured,1989-05-14T17:00Z,70.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
