Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
LA,13901,Total Suspended Solids,Measured,1986-01-14T17:00Z,12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-02-14T17:00Z,10,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-03-14T17:00Z,14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-04-14T17:00Z,8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-05-14T17:00Z,10,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-06-14T17:00Z,590,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-07-14T17:00Z,254,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-08-14T17:00Z,908,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-09-14T17:00Z,177,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-10-14T17:00Z,448,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-11-14T17:00Z,350,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1986-12-14T17:00Z,388,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-01-14T17:00Z,76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-02-14T17:00Z,28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-03-14T17:00Z,72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-09-14T17:00Z,900,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-10-14T17:00Z,460,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-11-14T17:00Z,372,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1987-12-14T17:00Z,302,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-01-14T17:00Z,18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-02-14T17:00Z,4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-03-14T17:00Z,28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-06-14T17:00Z,224,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-07-14T17:00Z,1020,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-08-14T17:00Z,1212,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-09-14T17:00Z,1526,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-10-14T17:00Z,492,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-11-14T17:00Z,508,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1988-12-14T17:00Z,64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-01-14T17:00Z,18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-03-14T17:00Z,3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-04-14T17:00Z,2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-05-14T17:00Z,16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-06-14T17:00Z,296,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-09-14T17:00Z,240,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-10-14T17:00Z,9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-11-14T17:00Z,324,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1989-12-14T17:00Z,138,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-01-14T17:00Z,69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-02-14T17:00Z,5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-04-14T17:00Z,24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-05-14T17:00Z,34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-06-14T17:00Z,342,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-07-14T17:00Z,472,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-08-14T17:00Z,1052,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-09-14T17:00Z,534,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-10-14T17:00Z,264,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-11-14T17:00Z,218,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1990-12-14T17:00Z,180,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-01-14T17:00Z,32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-02-14T17:00Z,19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-03-14T17:00Z,6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-04-14T17:00Z,13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-05-14T17:00Z,87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-06-14T17:00Z,166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-07-14T17:00Z,374,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-08-14T17:00Z,588,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1991-12-14T17:00Z,177,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-01-14T17:00Z,42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-02-14T17:00Z,16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-03-14T17:00Z,26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-04-14T17:00Z,12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-05-14T17:00Z,45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-06-14T17:00Z,150,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-07-14T17:00Z,256,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-08-14T17:00Z,289,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-09-14T17:00Z,300,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-10-14T17:00Z,276,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-11-14T17:00Z,208,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1992-12-14T17:00Z,60,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-01-14T17:00Z,20,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-02-14T17:00Z,16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-03-14T17:00Z,10,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-06-14T17:00Z,334,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-07-14T17:00Z,1343,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-08-14T17:00Z,501,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-09-14T17:00Z,898,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-10-14T17:00Z,320,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-11-14T17:00Z,324,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1993-12-14T17:00Z,160,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1994-09-14T17:00Z,246,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1994-10-14T17:00Z,207,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1994-11-14T17:00Z,120,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,13901,Total Suspended Solids,Measured,1994-12-14T17:00Z,70,mg/l,O,Raw - Not Yet Reviewed,Unverified data
