KH,120423,PH,M,2008-01-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-16T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-17T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-23T07:00:00+07:00,0.4,mm    , O
KH,120423,PH,M,2008-01-24T07:00:00+07:00,0.3,mm    , O
KH,120423,PH,M,2008-01-25T07:00:00+07:00,19.1,mm    , O
KH,120423,PH,M,2008-01-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-01-31T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-02T07:00:00+07:00,33.5,mm    , O
KH,120423,PH,M,2008-02-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-16T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-17T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-23T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-02-24T07:00:00+07:00,24.7,mm    , O
KH,120423,PH,M,2008-02-25T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-02-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-07T07:00:00+07:00,29.6,mm    , O
KH,120423,PH,M,2008-03-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-03-15T07:00:00+07:00,0,mm    , O
