KH,130507,PH,M,2001-01-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-01-31T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-25T07:00:00+07:00,  2.000000,mm    , O
KH,130507,PH,M,2001-02-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-02-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-13T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-03-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-17T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-20T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-03-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-23T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-03-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-26T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-03-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-28T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-03-31T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-15T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-17T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-04-18T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-20T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-21T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-22T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-23T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-25T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-28T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-04-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-04-30T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-01T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-03T07:00:00+07:00,  41.00000,mm    , O
KH,130507,PH,M,2001-05-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-07T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-10T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-12T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-13T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-14T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-15T07:00:00+07:00,  70.00000,mm    , O
KH,130507,PH,M,2001-05-16T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-17T07:00:00+07:00,  70.00000,mm    , O
KH,130507,PH,M,2001-05-18T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-19T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-20T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-21T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-22T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-23T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-24T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-25T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-05-26T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-27T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-28T07:00:00+07:00,  21.00000,mm    , O
KH,130507,PH,M,2001-05-29T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-05-30T07:00:00+07:00,  11.00000,mm    , O
KH,130507,PH,M,2001-05-31T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-06-01T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-02T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-03T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-04T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-05T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-06T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-07T07:00:00+07:00,  1.000000,mm    , O
KH,130507,PH,M,2001-06-08T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-09T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-10T07:00:00+07:00,  10.00000,mm    , O
KH,130507,PH,M,2001-06-11T07:00:00+07:00,  0.000000,mm    , O
KH,130507,PH,M,2001-06-12T07:00:00+07:00,  1.000000,mm    , O
