LA,14301,HH,M,2000-01-01T07:00:00+07:00,1.46,m     , O
LA,14301,HH,M,2000-01-02T07:00:00+07:00,1.42,m     , O
LA,14301,HH,M,2000-01-03T07:00:00+07:00,1.4,m     , O
LA,14301,HH,M,2000-01-04T07:00:00+07:00,1.42,m     , O
LA,14301,HH,M,2000-01-05T07:00:00+07:00,1.38,m     , O
LA,14301,HH,M,2000-01-06T07:00:00+07:00,1.38,m     , O
LA,14301,HH,M,2000-01-07T07:00:00+07:00,1.34,m     , O
LA,14301,HH,M,2000-01-08T07:00:00+07:00,1.32,m     , O
LA,14301,HH,M,2000-01-09T07:00:00+07:00,1.3,m     , O
LA,14301,HH,M,2000-01-10T07:00:00+07:00,1.24,m     , O
LA,14301,HH,M,2000-01-11T07:00:00+07:00,1.2,m     , O
LA,14301,HH,M,2000-01-12T07:00:00+07:00,1.18,m     , O
LA,14301,HH,M,2000-01-13T07:00:00+07:00,1.16,m     , O
LA,14301,HH,M,2000-01-14T07:00:00+07:00,1.14,m     , O
LA,14301,HH,M,2000-01-15T07:00:00+07:00,1.14,m     , O
LA,14301,HH,M,2000-01-16T07:00:00+07:00,1.14,m     , O
LA,14301,HH,M,2000-01-17T07:00:00+07:00,1.14,m     , O
LA,14301,HH,M,2000-01-18T07:00:00+07:00,1.12,m     , O
LA,14301,HH,M,2000-01-19T07:00:00+07:00,1.11,m     , O
LA,14301,HH,M,2000-01-20T07:00:00+07:00,1.07,m     , O
LA,14301,HH,M,2000-01-21T07:00:00+07:00,1.05,m     , O
LA,14301,HH,M,2000-01-22T07:00:00+07:00,1.04,m     , O
LA,14301,HH,M,2000-01-23T07:00:00+07:00,1.02,m     , O
LA,14301,HH,M,2000-01-24T07:00:00+07:00,1.03,m     , O
LA,14301,HH,M,2000-01-25T07:00:00+07:00,1.02,m     , O
LA,14301,HH,M,2000-01-26T07:00:00+07:00,1.02,m     , O
LA,14301,HH,M,2000-01-27T07:00:00+07:00,1.01,m     , O
LA,14301,HH,M,2000-01-28T07:00:00+07:00,0.98,m     , O
LA,14301,HH,M,2000-01-29T07:00:00+07:00,0.97,m     , O
LA,14301,HH,M,2000-01-30T07:00:00+07:00,0.97,m     , O
LA,14301,HH,M,2000-01-31T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-02-01T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-02-02T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-02-03T07:00:00+07:00,0.96,m     , O
