LA,150609,HH,M,2009-01-01T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-01-02T07:00:00+07:00,3.24,m     , E
LA,150609,HH,M,2009-01-03T07:00:00+07:00,3.5,m     , E
LA,150609,HH,M,2009-01-04T07:00:00+07:00,3.36,m     , E
LA,150609,HH,M,2009-01-05T07:00:00+07:00,3.24,m     , E
LA,150609,HH,M,2009-01-06T07:00:00+07:00,3.08,m     , E
LA,150609,HH,M,2009-01-07T07:00:00+07:00,3.02,m     , E
LA,150609,HH,M,2009-01-08T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-01-09T07:00:00+07:00,3.05,m     , E
LA,150609,HH,M,2009-01-10T07:00:00+07:00,3.28,m     , E
LA,150609,HH,M,2009-01-11T07:00:00+07:00,3.08,m     , E
LA,150609,HH,M,2009-01-12T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-01-13T07:00:00+07:00,2.91,m     , E
LA,150609,HH,M,2009-01-14T07:00:00+07:00,2.9,m     , E
LA,150609,HH,M,2009-01-15T07:00:00+07:00,2.86,m     , E
LA,150609,HH,M,2009-01-16T07:00:00+07:00,2.82,m     , E
LA,150609,HH,M,2009-01-17T07:00:00+07:00,2.84,m     , E
LA,150609,HH,M,2009-01-18T07:00:00+07:00,2.75,m     , E
LA,150609,HH,M,2009-01-19T07:00:00+07:00,2.74,m     , E
LA,150609,HH,M,2009-01-20T07:00:00+07:00,2.71,m     , E
LA,150609,HH,M,2009-01-21T07:00:00+07:00,2.7,m     , E
LA,150609,HH,M,2009-01-22T07:00:00+07:00,2.7,m     , E
LA,150609,HH,M,2009-01-23T07:00:00+07:00,2.69,m     , E
LA,150609,HH,M,2009-01-24T07:00:00+07:00,2.68,m     , E
LA,150609,HH,M,2009-01-25T07:00:00+07:00,2.66,m     , E
LA,150609,HH,M,2009-01-26T07:00:00+07:00,2.66,m     , E
LA,150609,HH,M,2009-01-27T07:00:00+07:00,2.63,m     , E
LA,150609,HH,M,2009-01-28T07:00:00+07:00,2.63,m     , E
LA,150609,HH,M,2009-01-29T07:00:00+07:00,2.63,m     , E
LA,150609,HH,M,2009-01-30T07:00:00+07:00,2.61,m     , E
LA,150609,HH,M,2009-01-31T07:00:00+07:00,2.6,m     , E
LA,150609,HH,M,2009-02-01T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-02-02T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-02-03T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-04T07:00:00+07:00,2.575,m     , E
LA,150609,HH,M,2009-02-05T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-02-06T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-07T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-08T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-09T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-10T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-11T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-12T07:00:00+07:00,2.57,m     , E
LA,150609,HH,M,2009-02-13T07:00:00+07:00,2.57,m     , E
LA,150609,HH,M,2009-02-14T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-15T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-16T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-17T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-02-18T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-19T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-20T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-21T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-22T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-02-23T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-02-24T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-02-25T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-02-26T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-02-27T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-02-28T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-03-01T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-02T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-03T07:00:00+07:00,2.53,m     , E
LA,150609,HH,M,2009-03-04T07:00:00+07:00,2.53,m     , E
LA,150609,HH,M,2009-03-05T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-03-06T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-03-07T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-03-08T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-03-09T07:00:00+07:00,2.5,m     , E
LA,150609,HH,M,2009-03-10T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-03-11T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-03-12T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-13T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-03-14T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-15T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-16T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-17T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-18T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-19T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-03-20T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-03-21T07:00:00+07:00,2.5,m     , E
LA,150609,HH,M,2009-03-22T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-03-23T07:00:00+07:00,2.5,m     , E
LA,150609,HH,M,2009-03-24T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-25T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-26T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-03-27T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-28T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-03-29T07:00:00+07:00,2.53,m     , E
LA,150609,HH,M,2009-03-30T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-03-31T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-04-01T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-04-02T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-03T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-04T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-05T07:00:00+07:00,2.5,m     , E
LA,150609,HH,M,2009-04-06T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-04-07T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-08T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-09T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-10T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-04-11T07:00:00+07:00,2.48,m     , E
LA,150609,HH,M,2009-04-12T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-04-13T07:00:00+07:00,2.49,m     , E
LA,150609,HH,M,2009-04-14T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-04-15T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-04-16T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-04-17T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-04-18T07:00:00+07:00,2.71,m     , E
LA,150609,HH,M,2009-04-19T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-04-20T07:00:00+07:00,2.53,m     , E
LA,150609,HH,M,2009-04-21T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-22T07:00:00+07:00,2.51,m     , E
LA,150609,HH,M,2009-04-23T07:00:00+07:00,2.52,m     , E
LA,150609,HH,M,2009-04-24T07:00:00+07:00,2.54,m     , E
LA,150609,HH,M,2009-04-25T07:00:00+07:00,2.56,m     , E
LA,150609,HH,M,2009-04-26T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-04-27T07:00:00+07:00,2.61,m     , E
LA,150609,HH,M,2009-04-28T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-04-29T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-04-30T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-05-01T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-05-02T07:00:00+07:00,2.82,m     , E
LA,150609,HH,M,2009-05-03T07:00:00+07:00,2.71,m     , E
LA,150609,HH,M,2009-05-04T07:00:00+07:00,2.64,m     , E
LA,150609,HH,M,2009-05-05T07:00:00+07:00,2.57,m     , E
LA,150609,HH,M,2009-05-06T07:00:00+07:00,2.55,m     , E
LA,150609,HH,M,2009-05-07T07:00:00+07:00,2.59,m     , E
LA,150609,HH,M,2009-05-08T07:00:00+07:00,2.6,m     , E
LA,150609,HH,M,2009-05-09T07:00:00+07:00,2.63,m     , E
LA,150609,HH,M,2009-05-10T07:00:00+07:00,2.64,m     , E
LA,150609,HH,M,2009-05-11T07:00:00+07:00,2.77,m     , E
LA,150609,HH,M,2009-05-12T07:00:00+07:00,2.79,m     , E
LA,150609,HH,M,2009-05-13T07:00:00+07:00,2.6,m     , E
LA,150609,HH,M,2009-05-14T07:00:00+07:00,2.67,m     , E
LA,150609,HH,M,2009-05-15T07:00:00+07:00,2.82,m     , E
LA,150609,HH,M,2009-05-16T07:00:00+07:00,2.71,m     , E
LA,150609,HH,M,2009-05-17T07:00:00+07:00,2.74,m     , E
LA,150609,HH,M,2009-05-18T07:00:00+07:00,3.06,m     , E
LA,150609,HH,M,2009-05-19T07:00:00+07:00,2.92,m     , E
LA,150609,HH,M,2009-05-20T07:00:00+07:00,2.69,m     , E
LA,150609,HH,M,2009-05-21T07:00:00+07:00,2.68,m     , E
LA,150609,HH,M,2009-05-22T07:00:00+07:00,3.03,m     , E
LA,150609,HH,M,2009-05-23T07:00:00+07:00,3.15,m     , E
LA,150609,HH,M,2009-05-24T07:00:00+07:00,3.31,m     , E
LA,150609,HH,M,2009-05-25T07:00:00+07:00,3.39,m     , E
LA,150609,HH,M,2009-05-26T07:00:00+07:00,3.19,m     , E
LA,150609,HH,M,2009-05-27T07:00:00+07:00,3.02,m     , E
LA,150609,HH,M,2009-05-28T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-05-29T07:00:00+07:00,2.88,m     , E
LA,150609,HH,M,2009-05-30T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-05-31T07:00:00+07:00,3.05,m     , E
LA,150609,HH,M,2009-06-01T07:00:00+07:00,1.8795,m     , E
LA,150609,HH,M,2009-06-02T07:00:00+07:00,1.79,m     , O
LA,150609,HH,M,2009-06-03T07:00:00+07:00,1.66,m     , O
LA,150609,HH,M,2009-06-04T07:00:00+07:00,1.69,m     , O
