TH,13101,HH,M,2000-01-01T07:00:00+07:00,2.09,m     , O
TH,13101,HH,M,2000-01-02T07:00:00+07:00,2.06,m     , O
TH,13101,HH,M,2000-01-03T07:00:00+07:00,2.04,m     , O
TH,13101,HH,M,2000-01-04T07:00:00+07:00,2.02,m     , O
TH,13101,HH,M,2000-01-05T07:00:00+07:00,1.98,m     , O
TH,13101,HH,M,2000-01-06T07:00:00+07:00,1.93,m     , O
TH,13101,HH,M,2000-01-07T07:00:00+07:00,1.89,m     , O
TH,13101,HH,M,2000-01-08T07:00:00+07:00,1.85,m     , O
TH,13101,HH,M,2000-01-09T07:00:00+07:00,1.81,m     , O
TH,13101,HH,M,2000-01-10T07:00:00+07:00,1.78,m     , O
TH,13101,HH,M,2000-01-11T07:00:00+07:00,1.77,m     , O
TH,13101,HH,M,2000-01-12T07:00:00+07:00,1.76,m     , O
TH,13101,HH,M,2000-01-13T07:00:00+07:00,1.76,m     , O
TH,13101,HH,M,2000-01-14T07:00:00+07:00,1.73,m     , O
TH,13101,HH,M,2000-01-15T07:00:00+07:00,1.7,m     , O
TH,13101,HH,M,2000-01-16T07:00:00+07:00,1.65,m     , O
TH,13101,HH,M,2000-01-17T07:00:00+07:00,1.62,m     , O
TH,13101,HH,M,2000-01-18T07:00:00+07:00,1.61,m     , O
TH,13101,HH,M,2000-01-19T07:00:00+07:00,1.59,m     , O
TH,13101,HH,M,2000-01-20T07:00:00+07:00,1.58,m     , O
TH,13101,HH,M,2000-01-21T07:00:00+07:00,1.58,m     , O
TH,13101,HH,M,2000-01-22T07:00:00+07:00,1.58,m     , O
TH,13101,HH,M,2000-01-23T07:00:00+07:00,1.57,m     , O
TH,13101,HH,M,2000-01-24T07:00:00+07:00,1.54,m     , O
TH,13101,HH,M,2000-01-25T07:00:00+07:00,1.52,m     , O
TH,13101,HH,M,2000-01-26T07:00:00+07:00,1.49,m     , O
TH,13101,HH,M,2000-01-27T07:00:00+07:00,1.47,m     , O
TH,13101,HH,M,2000-01-28T07:00:00+07:00,1.45,m     , O
TH,13101,HH,M,2000-01-29T07:00:00+07:00,1.43,m     , O
TH,13101,HH,M,2000-01-30T07:00:00+07:00,1.39,m     , O
TH,13101,HH,M,2000-01-31T07:00:00+07:00,1.36,m     , O
TH,13101,HH,M,2000-02-01T07:00:00+07:00,1.36,m     , O
TH,13101,HH,M,2000-02-02T07:00:00+07:00,1.36,m     , O
TH,13101,HH,M,2000-02-03T07:00:00+07:00,1.37,m     , O
TH,13101,HH,M,2000-02-04T07:00:00+07:00,1.35,m     , O
TH,13101,HH,M,2000-02-05T07:00:00+07:00,1.32,m     , O
TH,13101,HH,M,2000-02-06T07:00:00+07:00,1.31,m     , O
TH,13101,HH,M,2000-02-07T07:00:00+07:00,1.3,m     , O
TH,13101,HH,M,2000-02-08T07:00:00+07:00,1.28,m     , O
TH,13101,HH,M,2000-02-09T07:00:00+07:00,1.27,m     , O
TH,13101,HH,M,2000-02-10T07:00:00+07:00,1.27,m     , O
TH,13101,HH,M,2000-02-11T07:00:00+07:00,1.3,m     , O
TH,13101,HH,M,2000-02-12T07:00:00+07:00,1.33,m     , O
TH,13101,HH,M,2000-02-13T07:00:00+07:00,1.39,m     , O
TH,13101,HH,M,2000-02-14T07:00:00+07:00,1.46,m     , O
TH,13101,HH,M,2000-02-15T07:00:00+07:00,1.42,m     , O
TH,13101,HH,M,2000-02-16T07:00:00+07:00,1.35,m     , O
TH,13101,HH,M,2000-02-17T07:00:00+07:00,1.27,m     , O
TH,13101,HH,M,2000-02-18T07:00:00+07:00,1.23,m     , O
TH,13101,HH,M,2000-02-19T07:00:00+07:00,1.2,m     , O
TH,13101,HH,M,2000-02-20T07:00:00+07:00,1.18,m     , O
