VN,450701,HH,M,2000-01-01T07:00:00+07:00,25.83,m     , O
VN,450701,HH,M,2000-01-02T07:00:00+07:00,25.82,m     , O
VN,450701,HH,M,2000-01-03T07:00:00+07:00,25.78,m     , O
VN,450701,HH,M,2000-01-04T07:00:00+07:00,25.77,m     , O
VN,450701,HH,M,2000-01-05T07:00:00+07:00,25.8,m     , O
VN,450701,HH,M,2000-01-06T07:00:00+07:00,25.76,m     , O
VN,450701,HH,M,2000-01-07T07:00:00+07:00,25.72,m     , O
VN,450701,HH,M,2000-01-08T07:00:00+07:00,25.7,m     , O
VN,450701,HH,M,2000-01-09T07:00:00+07:00,25.7,m     , O
VN,450701,HH,M,2000-01-10T07:00:00+07:00,25.68,m     , O
VN,450701,HH,M,2000-01-11T07:00:00+07:00,25.67,m     , O
VN,450701,HH,M,2000-01-12T07:00:00+07:00,25.66,m     , O
VN,450701,HH,M,2000-01-13T07:00:00+07:00,25.65,m     , O
VN,450701,HH,M,2000-01-14T07:00:00+07:00,25.63,m     , O
VN,450701,HH,M,2000-01-15T07:00:00+07:00,25.58,m     , O
VN,450701,HH,M,2000-01-16T07:00:00+07:00,25.58,m     , O
VN,450701,HH,M,2000-01-17T07:00:00+07:00,25.56,m     , O
VN,450701,HH,M,2000-01-18T07:00:00+07:00,25.55,m     , O
VN,450701,HH,M,2000-01-19T07:00:00+07:00,25.54,m     , O
VN,450701,HH,M,2000-01-20T07:00:00+07:00,25.52,m     , O
VN,450701,HH,M,2000-01-21T07:00:00+07:00,25.52,m     , O
VN,450701,HH,M,2000-01-22T07:00:00+07:00,25.52,m     , O
VN,450701,HH,M,2000-01-23T07:00:00+07:00,25.51,m     , O
VN,450701,HH,M,2000-01-24T07:00:00+07:00,25.52,m     , O
VN,450701,HH,M,2000-01-25T07:00:00+07:00,25.56,m     , O
VN,450701,HH,M,2000-01-26T07:00:00+07:00,25.56,m     , O
VN,450701,HH,M,2000-01-27T07:00:00+07:00,25.545,m     , E
VN,450701,HH,M,2000-01-28T07:00:00+07:00,25.57,m     , O
VN,450701,HH,M,2000-01-29T07:00:00+07:00,25.56,m     , O
VN,450701,HH,M,2000-01-30T07:00:00+07:00,25.51,m     , O
VN,450701,HH,M,2000-01-31T07:00:00+07:00,25.48,m     , O
VN,450701,HH,M,2000-02-01T07:00:00+07:00,25.48,m     , O
VN,450701,HH,M,2000-02-02T07:00:00+07:00,25.46,m     , O
VN,450701,HH,M,2000-02-03T07:00:00+07:00,25.44,m     , O
VN,450701,HH,M,2000-02-04T07:00:00+07:00,25.42,m     , O
VN,450701,HH,M,2000-02-05T07:00:00+07:00,25.42,m     , O
VN,450701,HH,M,2000-02-06T07:00:00+07:00,25.41,m     , O
VN,450701,HH,M,2000-02-07T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-02-08T07:00:00+07:00,25.38,m     , O
VN,450701,HH,M,2000-02-09T07:00:00+07:00,25.36,m     , O
VN,450701,HH,M,2000-02-10T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-02-11T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-02-12T07:00:00+07:00,25.32,m     , O
VN,450701,HH,M,2000-02-13T07:00:00+07:00,25.32,m     , O
VN,450701,HH,M,2000-02-14T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-02-15T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-02-16T07:00:00+07:00,25.29,m     , O
VN,450701,HH,M,2000-02-17T07:00:00+07:00,25.28,m     , O
VN,450701,HH,M,2000-02-18T07:00:00+07:00,25.27,m     , O
VN,450701,HH,M,2000-02-19T07:00:00+07:00,25.37,m     , O
VN,450701,HH,M,2000-02-20T07:00:00+07:00,25.36,m     , O
VN,450701,HH,M,2000-02-21T07:00:00+07:00,25.38,m     , O
VN,450701,HH,M,2000-02-22T07:00:00+07:00,25.49,m     , O
VN,450701,HH,M,2000-02-23T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-02-24T07:00:00+07:00,25.32,m     , O
VN,450701,HH,M,2000-02-25T07:00:00+07:00,25.28,m     , O
VN,450701,HH,M,2000-02-26T07:00:00+07:00,25.26,m     , O
VN,450701,HH,M,2000-02-27T07:00:00+07:00,25.25,m     , O
VN,450701,HH,M,2000-02-28T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-02-29T07:00:00+07:00,25.25,m     , O
VN,450701,HH,M,2000-03-01T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-03-02T07:00:00+07:00,25.25,m     , O
VN,450701,HH,M,2000-03-03T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-03-04T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-03-05T07:00:00+07:00,25.22,m     , O
VN,450701,HH,M,2000-03-06T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-03-07T07:00:00+07:00,25.18,m     , O
VN,450701,HH,M,2000-03-08T07:00:00+07:00,25.17,m     , O
VN,450701,HH,M,2000-03-09T07:00:00+07:00,25.17,m     , O
