Station Name	Start Date	End Date	Has Missing Data
Chroy Chang Var	1/1/1960	31/12/2002	TRUE
28/9/1981	 1981-09-29	 1981-09-30	 1981-10-01
Kompong Cham	1/1/1960	31/12/2002	FALSE
Chaktomuk	1/1/1960	31/12/2002	TRUE
Chantangoy	6/2/1960	31/12/2002	TRUE
23/5/1968	 1968-05-24	 1968-05-25	 1968-05-26
Ban Kamphun	1/1/1960	31/12/2002	TRUE
13/7/1977	 1977-07-14	 1977-07-15	 1977-07-16
Battambang	3/4/1962	31/12/2002	TRUE
10/9/1970	 1970-09-11	 1970-09-12	 1970-09-13
Vientiane KM4	1/1/1913	31/12/2006	FALSE
Ban Pak Kanhoung	1/1/1963	31/12/2005	TRUE
23/9/1983	 1983-09-24	 1983-09-25	 1983-09-26
Ban Na Luang	1/1/1987	31/12/2005	FALSE
Chiang Saen	1/1/1960	27/11/2023	TRUE
Ban Huai Yano Mai	1/4/1975	31/12/2003	TRUE
Ban Tha Ton	1/4/1969	31/12/2005	TRUE
Ban Tha Mai Liam	1/4/1969	31/12/2003	TRUE
Ban Pak Huai	1/1/1967	31/12/2007	TRUE
Yasothom	1/1/1952	31/12/2003	TRUE
Ban Chot	1/4/1975	31/12/2003	TRUE
Ban Nong Kiang	1/4/1975	31/12/2003	TRUE
Ban Tad Ton	3/5/1976	28/12/2003	TRUE
5/8/1992	 1992-08-06	 1992-08-07	 1992-08-08
Ban Huai Khayuong	26/4/1979	31/12/2003	TRUE
My Thuan	1/1/2001	31/12/2007	TRUE
Can Tho	1/1/2001	31/12/2007	TRUE
Cau 14 (Buon Bur)	2/4/1967	31/12/2006	TRUE
30/9/1978	 1978-10-01	 1978-10-02	 1978-10-03
Vam Nao	1/1/2001	31/12/2007	TRUE
Stung Treng	1/1/1910	27/11/2023	TRUE
Kratie	1/1/1924	27/11/2023	TRUE
9/12/1977	 1977-12-10	 1977-12-11	 1977-12-12
Lumphat	1/1/1965	27/11/2023	TRUE
22/6/1977	 1977-06-23	 1977-06-24	 1977-06-25
Pakse	1/1/1923	27/11/2023	TRUE
