Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,440101,Discharge,Daily Calculated,1960-01-01T00:00Z,390.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-02T00:00Z,382.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-03T00:00Z,373.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-04T00:00Z,369.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-05T00:00Z,364.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-06T00:00Z,364.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-07T00:00Z,364.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-08T00:00Z,360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-09T00:00Z,352.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-10T00:00Z,360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-11T00:00Z,364.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-12T00:00Z,360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-13T00:00Z,356.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-14T00:00Z,352.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-15T00:00Z,352.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-16T00:00Z,339.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-17T00:00Z,330.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-18T00:00Z,313.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-19T00:00Z,308.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-20T00:00Z,308.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-21T00:00Z,304.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-22T00:00Z,296.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-23T00:00Z,278.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-24T00:00Z,261.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-25T00:00Z,252.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-26T00:00Z,248.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-27T00:00Z,240.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-28T00:00Z,236.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-29T00:00Z,231.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-30T00:00Z,228.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-01-31T00:00Z,224.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-02-01T00:00Z,224.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Discharge,Daily Calculated,1960-02-02T00:00Z,212.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
