Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,370122,Discharge,Daily Calculated,1975-04-01T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-02T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-03T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-04T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-05T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-06T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-07T00:00Z,2.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-08T00:00Z,4.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-09T00:00Z,4.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-10T00:00Z,3.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-11T00:00Z,2.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-12T00:00Z,2.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-13T00:00Z,1.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-14T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-15T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-16T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-17T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-18T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-19T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-20T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-21T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-22T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-23T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-24T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-25T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-26T00:00Z,1.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-27T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-28T00:00Z,1.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-29T00:00Z,1.6,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-04-30T00:00Z,1.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-05-01T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-05-02T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,370122,Discharge,Daily Calculated,1975-05-03T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
