Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039803,Rainfall,Manual,2006-08-01T00:00Z,0.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-03T00:00Z,-0.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-04T00:00Z,-0.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-05T00:00Z,-0.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-06T00:00Z,-0.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-07T00:00Z,0.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-08T00:00Z,0.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-09T00:00Z,0.6,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-10T00:00Z,0.9,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-12T00:00Z,1.5,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-13T00:00Z,1.4,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-14T00:00Z,0.9,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-15T00:00Z,0.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-16T00:00Z,-0.2,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-17T00:00Z,-0.2,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-19T00:00Z,-0.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-20T00:00Z,0.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-23T00:00Z,0.7,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-25T00:00Z,1.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-26T00:00Z,1.1,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-27T00:00Z,1.3,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-28T00:00Z,1.2,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-29T00:00Z,0.4,mm,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Rainfall,Manual,2006-08-30T00:00Z,0.6,mm,O,Raw - Not Yet Reviewed,Unverified data
