Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,010501,Sediment Concentration,Measured,1962-02-22T00:00Z,32.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1962-03-13T00:00Z,43.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1962-03-28T00:00Z,19.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1962-04-11T00:00Z,4.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1962-04-26T00:00Z,154.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-02-20T00:00Z,91.68,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-02-23T00:00Z,89.32,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-03-04T00:00Z,69.36,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-03-11T00:00Z,66.29,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-03-14T00:00Z,65.6,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-03-23T00:00Z,53.24,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-03-25T00:00Z,89.88,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-05-03T00:00Z,360.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-05-27T00:00Z,166.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-06-03T00:00Z,233.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-06-05T00:00Z,209.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured,1968-06-07T00:00Z,183.0,ppm,O,Raw - Not Yet Reviewed,Unverified data
