Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,014901,Total Suspended Solids,Measured,1995-07-14T17:00Z,402.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1995-08-14T17:00Z,235.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1995-09-14T17:00Z,140.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1995-10-14T17:00Z,302.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1995-11-14T17:00Z,54.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1995-12-14T17:00Z,56.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-01-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-03-14T17:00Z,9.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-04-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-05-14T17:00Z,103.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-06-14T17:00Z,55.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-07-14T17:00Z,150.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-08-14T17:00Z,188.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-09-14T17:00Z,680.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-10-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-11-14T17:00Z,132.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1996-12-14T17:00Z,112.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-01-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-02-14T17:00Z,70.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-03-14T17:00Z,37.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-04-14T17:00Z,44.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-05-14T17:00Z,3.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-06-14T17:00Z,74.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-07-14T17:00Z,210.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-08-14T17:00Z,118.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-09-14T17:00Z,183.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-10-14T17:00Z,282.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-11-14T17:00Z,74.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1997-12-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-01-14T17:00Z,29.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-02-14T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-03-14T17:00Z,50.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-04-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-05-14T17:00Z,23.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1998-06-14T17:00Z,64.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1999-09-14T17:00Z,298.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1999-10-14T17:00Z,111.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,1999-11-14T17:00Z,271.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-01-14T17:00Z,51.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-02-14T17:00Z,11.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-03-14T17:00Z,9.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-04-14T17:00Z,9.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-05-14T17:00Z,166.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-06-14T17:00Z,162.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-07-14T17:00Z,188.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-08-14T17:00Z,191.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-09-14T17:00Z,363.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-10-14T17:00Z,135.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-11-14T17:00Z,133.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2000-12-14T17:00Z,51.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-01-14T17:00Z,15.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-02-14T17:00Z,21.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-03-14T17:00Z,8.333,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-04-14T17:00Z,20.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-05-14T17:00Z,21.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-06-14T17:00Z,232.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-07-14T17:00Z,252.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-08-14T17:00Z,215.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-09-14T17:00Z,174.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-10-14T17:00Z,149.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-11-14T17:00Z,206.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2001-12-14T17:00Z,84.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-01-14T17:00Z,34.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-02-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-03-14T17:00Z,3.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-04-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-05-14T17:00Z,9.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-06-14T17:00Z,44.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-07-14T17:00Z,26.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-08-14T17:00Z,173.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-09-14T17:00Z,132.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-10-14T17:00Z,37.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-11-14T17:00Z,156.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2002-12-14T17:00Z,56.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-01-14T17:00Z,7.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-02-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-03-14T17:00Z,3.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-04-14T17:00Z,13.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-05-14T17:00Z,45.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-06-14T17:00Z,77.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-07-14T17:00Z,127.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-08-14T17:00Z,95.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,014901,Total Suspended Solids,Measured,2003-09-14T17:00Z,195.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
