Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
LA,013901,Total Suspended Solids,Measured,1986-01-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-02-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-03-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-04-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-05-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-06-14T17:00Z,590.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-07-14T17:00Z,254.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-08-14T17:00Z,908.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-09-14T17:00Z,177.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-10-14T17:00Z,448.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-11-14T17:00Z,350.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1986-12-14T17:00Z,388.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-01-14T17:00Z,76.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-02-14T17:00Z,28.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-03-14T17:00Z,72.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-09-14T17:00Z,900.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-10-14T17:00Z,460.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-11-14T17:00Z,372.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1987-12-14T17:00Z,302.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-01-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-02-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-03-14T17:00Z,28.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-06-14T17:00Z,224.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-07-14T17:00Z,1020.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-08-14T17:00Z,1212.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-09-14T17:00Z,1526.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-10-14T17:00Z,492.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-11-14T17:00Z,508.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1988-12-14T17:00Z,64.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-01-14T17:00Z,18.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-03-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-04-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-05-14T17:00Z,16.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-06-14T17:00Z,296.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-09-14T17:00Z,240.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-10-14T17:00Z,9.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-11-14T17:00Z,324.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1989-12-14T17:00Z,138.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-01-14T17:00Z,69.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-02-14T17:00Z,5.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-04-14T17:00Z,24.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-05-14T17:00Z,34.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-06-14T17:00Z,342.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-07-14T17:00Z,472.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-08-14T17:00Z,1052.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-09-14T17:00Z,534.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-10-14T17:00Z,264.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-11-14T17:00Z,218.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1990-12-14T17:00Z,180.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-01-14T17:00Z,32.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-02-14T17:00Z,19.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-03-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-04-14T17:00Z,13.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-05-14T17:00Z,87.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-06-14T17:00Z,166.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-07-14T17:00Z,374.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-08-14T17:00Z,588.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1991-12-14T17:00Z,177.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-01-14T17:00Z,42.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-02-14T17:00Z,16.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-03-14T17:00Z,26.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-04-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-05-14T17:00Z,45.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-06-14T17:00Z,150.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-07-14T17:00Z,256.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-08-14T17:00Z,289.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-09-14T17:00Z,300.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013901,Total Suspended Solids,Measured,1992-10-14T17:00Z,276.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
