Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013801,Total Suspended Solids,Measured,1985-06-14T17:00Z,130.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-07-14T17:00Z,226.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-08-14T17:00Z,591.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-09-14T17:00Z,643.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-10-14T17:00Z,442.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-11-14T17:00Z,88.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1985-12-14T17:00Z,123.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-01-14T17:00Z,45.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-02-14T17:00Z,19.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-03-14T17:00Z,9.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-04-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-05-14T17:00Z,72.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-06-14T17:00Z,280.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-07-14T17:00Z,144.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-08-14T17:00Z,476.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Total Suspended Solids,Measured,1986-09-14T17:00Z,418.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
