Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,440101,Water Level,Manual,1960-02-05T00:00Z,0.97,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-02-24T00:00Z,0.82,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-12T00:00Z,0.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-13T00:00Z,0.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-14T00:00Z,0.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-15T00:00Z,0.87,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-16T00:00Z,0.86,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-17T00:00Z,0.86,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-18T00:00Z,0.83,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-19T00:00Z,0.8,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-20T00:00Z,0.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-21T00:00Z,0.76,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-22T00:00Z,0.77,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-23T00:00Z,0.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-24T00:00Z,0.89,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-25T00:00Z,0.75,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-26T00:00Z,0.74,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-27T00:00Z,0.76,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-28T00:00Z,0.74,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-29T00:00Z,0.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-30T00:00Z,0.69,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-03-31T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-01T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-02T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-03T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-04T00:00Z,0.69,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-05T00:00Z,0.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-06T00:00Z,0.69,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-07T00:00Z,0.66,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-08T00:00Z,0.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-09T00:00Z,0.65,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-10T00:00Z,0.65,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-11T00:00Z,0.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-12T00:00Z,0.62,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-13T00:00Z,0.66,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-14T00:00Z,0.65,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-15T00:00Z,0.63,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-16T00:00Z,0.67,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-17T00:00Z,0.63,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-18T00:00Z,0.6,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-19T00:00Z,0.61,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-20T00:00Z,0.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-21T00:00Z,0.65,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-22T00:00Z,0.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-23T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-24T00:00Z,0.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-25T00:00Z,0.63,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-26T00:00Z,0.62,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-27T00:00Z,0.66,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-28T00:00Z,0.66,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-29T00:00Z,0.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-04-30T00:00Z,0.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-01T00:00Z,0.69,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-02T00:00Z,0.67,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-03T00:00Z,0.78,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-04T00:00Z,0.8,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-05T00:00Z,0.77,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-06T00:00Z,0.67,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-07T00:00Z,0.63,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-08T00:00Z,0.73,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-09T00:00Z,0.78,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-10T00:00Z,0.77,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-11T00:00Z,0.74,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-12T00:00Z,0.78,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-13T00:00Z,0.74,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-14T00:00Z,0.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-15T00:00Z,0.9,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-16T00:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-17T00:00Z,1.04,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-18T00:00Z,1.2,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-19T00:00Z,1.55,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-20T00:00Z,1.18,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-21T00:00Z,1.18,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-22T00:00Z,1.55,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-23T00:00Z,1.66,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-24T00:00Z,1.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-25T00:00Z,1.63,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-26T00:00Z,1.53,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-27T00:00Z,1.2,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-28T00:00Z,1.23,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-29T00:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-30T00:00Z,1.15,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-05-31T00:00Z,1.2,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-01T00:00Z,1.19,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-02T00:00Z,1.16,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-03T00:00Z,1.13,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-04T00:00Z,1.1,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-05T00:00Z,1.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-06T00:00Z,3.4,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-07T00:00Z,3.36,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-08T00:00Z,3.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-09T00:00Z,3.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-10T00:00Z,3.3,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-11T00:00Z,2.55,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-12T00:00Z,2.14,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-13T00:00Z,2.11,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-14T00:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-15T00:00Z,1.9,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-16T00:00Z,1.8,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-17T00:00Z,1.78,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-18T00:00Z,1.6,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-19T00:00Z,1.58,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-20T00:00Z,1.55,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-21T00:00Z,1.54,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-22T00:00Z,1.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-23T00:00Z,1.6,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-24T00:00Z,1.53,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-25T00:00Z,1.9,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-26T00:00Z,1.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-27T00:00Z,1.36,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-28T00:00Z,1.49,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-29T00:00Z,2.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-06-30T00:00Z,2.8,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-01T00:00Z,2.9,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-02T00:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-03T00:00Z,3.03,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-04T00:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-05T00:00Z,2.99,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-06T00:00Z,2.9,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-07T00:00Z,2.77,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-08T00:00Z,2.88,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-09T00:00Z,2.8,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-10T00:00Z,2.76,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-11T00:00Z,2.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-12T00:00Z,2.64,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-13T00:00Z,2.32,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-14T00:00Z,2.4,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-15T00:00Z,2.16,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-16T00:00Z,2.06,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-17T00:00Z,2.06,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-18T00:00Z,1.96,m,O,Raw - Not Yet Reviewed,Unverified data
KH,440101,Water Level,Manual,1960-07-19T00:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
