Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,450101,Water Level,Manual,1965-01-01T00:00Z,5.78,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-02T00:00Z,5.7,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-03T00:00Z,5.58,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-04T00:00Z,5.53,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-05T00:00Z,5.47,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-06T00:00Z,5.36,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-07T00:00Z,5.31,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-08T00:00Z,5.26,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-09T00:00Z,5.2,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-10T00:00Z,5.15,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-11T00:00Z,5.08,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-12T00:00Z,5.02,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-13T00:00Z,4.97,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-14T00:00Z,4.91,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-15T00:00Z,4.85,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-16T00:00Z,4.79,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-17T00:00Z,4.73,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-18T00:00Z,4.68,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-19T00:00Z,4.62,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-20T00:00Z,4.56,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-21T00:00Z,4.5,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-22T00:00Z,4.44,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-23T00:00Z,4.39,m,O,Raw - Not Yet Reviewed,Unverified data
KH,450101,Water Level,Manual,1965-01-24T00:00Z,4.33,m,O,Raw - Not Yet Reviewed,Unverified data
