Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,381206,Discharge,Daily Calculated,1979-04-26T00:00Z,1.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-04-27T00:00Z,1.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-04-28T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-04-29T00:00Z,1.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-04-30T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-01T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-02T00:00Z,1.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-03T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-04T00:00Z,1.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-05T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-06T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-07T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-08T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-09T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-12T00:00Z,1.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-13T00:00Z,1.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-14T00:00Z,1.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-15T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-16T00:00Z,1.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-17T00:00Z,1.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-18T00:00Z,1.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-19T00:00Z,1.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-20T00:00Z,2.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-21T00:00Z,4.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-22T00:00Z,5.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-23T00:00Z,6.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-24T00:00Z,5.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-25T00:00Z,4.6,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-26T00:00Z,3.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-27T00:00Z,3.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-28T00:00Z,2.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-29T00:00Z,2.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-30T00:00Z,2.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-05-31T00:00Z,4.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-01T00:00Z,4.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-02T00:00Z,4.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-03T00:00Z,3.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-04T00:00Z,4.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-05T00:00Z,3.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-06T00:00Z,2.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-07T00:00Z,3.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-08T00:00Z,4.8,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-09T00:00Z,3.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-10T00:00Z,3.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-11T00:00Z,2.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-12T00:00Z,3.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-13T00:00Z,3.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-14T00:00Z,4.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-15T00:00Z,5.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-16T00:00Z,4.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-17T00:00Z,3.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-18T00:00Z,4.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-19T00:00Z,11.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-20T00:00Z,15.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-21T00:00Z,18.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-22T00:00Z,19.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-23T00:00Z,23.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-24T00:00Z,29.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-25T00:00Z,39.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-26T00:00Z,62.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-27T00:00Z,92.7,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-28T00:00Z,137.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-29T00:00Z,164.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-06-30T00:00Z,147.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-01T00:00Z,157.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-02T00:00Z,153.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-03T00:00Z,146.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-04T00:00Z,144.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-05T00:00Z,150.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-06T00:00Z,149.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-07T00:00Z,135.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-08T00:00Z,122.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-09T00:00Z,128.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-10T00:00Z,137.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-11T00:00Z,136.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-12T00:00Z,123.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-13T00:00Z,105.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-14T00:00Z,90.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-15T00:00Z,78.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-16T00:00Z,68.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-17T00:00Z,53.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-18T00:00Z,45.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-19T00:00Z,37.8,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-20T00:00Z,33.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-21T00:00Z,28.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-22T00:00Z,22.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-23T00:00Z,20.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-24T00:00Z,18.8,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-25T00:00Z,16.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-26T00:00Z,12.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-27T00:00Z,10.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-28T00:00Z,9.9,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-29T00:00Z,7.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-30T00:00Z,8.8,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-07-31T00:00Z,8.8,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-01T00:00Z,7.6,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-02T00:00Z,8.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-03T00:00Z,8.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-04T00:00Z,8.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-05T00:00Z,7.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-06T00:00Z,34.5,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-07T00:00Z,102.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-08T00:00Z,220.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-09T00:00Z,242.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-10T00:00Z,256.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-11T00:00Z,262.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,381206,Discharge,Daily Calculated,1979-08-12T00:00Z,265.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
