Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013801,Discharge,Daily Discharge,1966-01-01T00:00Z,4250.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-02T00:00Z,3940.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-03T00:00Z,3760.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-04T00:00Z,3620.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-05T00:00Z,3510.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-06T00:00Z,3420.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-07T00:00Z,3350.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-08T00:00Z,3300.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-09T00:00Z,3240.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-10T00:00Z,3200.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-11T00:00Z,3150.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-12T00:00Z,3120.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-13T00:00Z,3100.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-14T00:00Z,3070.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-15T00:00Z,3050.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-16T00:00Z,3040.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-17T00:00Z,3020.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-18T00:00Z,3000.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-19T00:00Z,2980.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-20T00:00Z,2940.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-21T00:00Z,2920.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-22T00:00Z,2910.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-23T00:00Z,2870.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-24T00:00Z,2840.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-25T00:00Z,2820.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-26T00:00Z,2820.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-27T00:00Z,2800.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-28T00:00Z,2780.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-29T00:00Z,2760.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-30T00:00Z,2740.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-01-31T00:00Z,2720.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-01T00:00Z,2710.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-02T00:00Z,2700.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-03T00:00Z,2720.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-04T00:00Z,2710.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-05T00:00Z,2720.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-06T00:00Z,2710.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-07T00:00Z,2700.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-08T00:00Z,2690.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-09T00:00Z,2680.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Discharge,Daily Discharge,1966-02-10T00:00Z,2690.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
