Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,Discharge,Daily Discharge,1991-12-31T00:00Z,88.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-01T00:00Z,89.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-02T00:00Z,86.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-03T00:00Z,86.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-04T00:00Z,82.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-05T00:00Z,86.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-06T00:00Z,89.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-07T00:00Z,89.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-08T00:00Z,86.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-09T00:00Z,82.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-10T00:00Z,82.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-11T00:00Z,80.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-12T00:00Z,79.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-13T00:00Z,79.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-14T00:00Z,76.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-15T00:00Z,76.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-16T00:00Z,76.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-17T00:00Z,71.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-18T00:00Z,73.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-19T00:00Z,73.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-20T00:00Z,73.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-21T00:00Z,73.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-22T00:00Z,73.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-23T00:00Z,68.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-24T00:00Z,64.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-25T00:00Z,66.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-26T00:00Z,66.3,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-27T00:00Z,62.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-28T00:00Z,60.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-29T00:00Z,60.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-30T00:00Z,62.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-01-31T00:00Z,65.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-01T00:00Z,50.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-02T00:00Z,55.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-03T00:00Z,55.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-04T00:00Z,56.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-05T00:00Z,46.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-06T00:00Z,55.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-07T00:00Z,55.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-08T00:00Z,54.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-09T00:00Z,49.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-10T00:00Z,47.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-11T00:00Z,45.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-12T00:00Z,35.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-13T00:00Z,46.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-14T00:00Z,45.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-15T00:00Z,45.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-16T00:00Z,43.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-17T00:00Z,43.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-18T00:00Z,40.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-19T00:00Z,38.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-20T00:00Z,39.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-21T00:00Z,39.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-22T00:00Z,35.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-23T00:00Z,36.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-24T00:00Z,37.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-25T00:00Z,39.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-26T00:00Z,39.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-27T00:00Z,35.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-28T00:00Z,37.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-02-29T00:00Z,39.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-01T00:00Z,37.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-02T00:00Z,34.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-03T00:00Z,34.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-04T00:00Z,43.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-05T00:00Z,41.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-06T00:00Z,37.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-07T00:00Z,35.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-08T00:00Z,35.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-09T00:00Z,34.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-10T00:00Z,34.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-11T00:00Z,33.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-12T00:00Z,34.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-13T00:00Z,32.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-14T00:00Z,32.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-15T00:00Z,30.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-16T00:00Z,30.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-17T00:00Z,30.2,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-18T00:00Z,32.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-19T00:00Z,32.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-20T00:00Z,32.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-21T00:00Z,33.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-22T00:00Z,33.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-23T00:00Z,34.4,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-24T00:00Z,31.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-25T00:00Z,31.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-26T00:00Z,32.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-27T00:00Z,31.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-28T00:00Z,32.1,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-29T00:00Z,31.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Discharge,Daily Discharge,1992-03-30T00:00Z,32.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
