Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,010501,Sediment Concentration,Measured DSMP,2009-01-05T17:00Z,145.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-01-14T17:00Z,56.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-01-21T17:00Z,64.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-02-04T17:00Z,47.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-02-11T17:00Z,34.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-02-18T17:00Z,40.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-03-04T17:00Z,62.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-03-18T17:00Z,65.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-04-08T17:00Z,190.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-05-13T17:00Z,48.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-05-21T17:00Z,165.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-05-27T17:00Z,138.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-06-03T17:00Z,116.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-06-10T17:00Z,111.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-06-17T17:00Z,121.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-06-27T17:00Z,111.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-07-14T17:00Z,301.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-07-22T17:00Z,133.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,010501,Sediment Concentration,Measured DSMP,2009-07-29T17:00Z,179.64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
