Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
KH,019802,Total Suspended Solids,Measured,1993-08-14T17:00Z,342.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1993-09-14T17:00Z,546.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1993-10-14T17:00Z,142.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1993-11-14T17:00Z,84.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1993-12-14T17:00Z,36.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-01-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-02-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-03-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-04-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-05-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-06-14T17:00Z,236.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-07-14T17:00Z,114.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-08-14T17:00Z,210.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-09-14T17:00Z,262.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-10-14T17:00Z,194.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-11-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1994-12-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-01-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-02-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-05-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-06-14T17:00Z,56.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-07-14T17:00Z,185.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-08-14T17:00Z,460.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-09-14T17:00Z,255.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-10-14T17:00Z,250.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-11-14T17:00Z,68.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1995-12-14T17:00Z,42.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-01-14T17:00Z,1.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-03-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-04-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-05-14T17:00Z,15.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-06-14T17:00Z,47.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-07-14T17:00Z,185.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-08-14T17:00Z,504.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-09-14T17:00Z,368.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-10-14T17:00Z,155.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-11-14T17:00Z,87.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1996-12-14T17:00Z,84.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-01-14T17:00Z,12.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-02-14T17:00Z,40.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-03-14T17:00Z,15.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-04-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-05-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-06-14T17:00Z,12.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-07-14T17:00Z,160.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-08-14T17:00Z,270.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-09-14T17:00Z,347.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-10-14T17:00Z,317.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-11-14T17:00Z,60.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1997-12-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-01-14T17:00Z,2.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-02-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-03-14T17:00Z,5.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-04-14T17:00Z,0.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-05-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1998-06-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1999-09-14T17:00Z,271.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1999-10-14T17:00Z,170.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,1999-11-14T17:00Z,186.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-01-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-02-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-03-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-04-14T17:00Z,9.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-05-14T17:00Z,152.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-06-14T17:00Z,217.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-07-14T17:00Z,272.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-08-14T17:00Z,218.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-09-14T17:00Z,45.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-10-14T17:00Z,12.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-11-14T17:00Z,62.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2000-12-14T17:00Z,24.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-01-14T17:00Z,12.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-02-14T17:00Z,8.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-03-14T17:00Z,22.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-04-14T17:00Z,18.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-05-14T17:00Z,22.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-06-14T17:00Z,156.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-07-14T17:00Z,198.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-08-14T17:00Z,203.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-09-14T17:00Z,75.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-10-14T17:00Z,98.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-11-14T17:00Z,288.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2001-12-14T17:00Z,38.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-01-14T17:00Z,9.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-02-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-03-14T17:00Z,5.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-04-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-05-14T17:00Z,3.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-06-14T17:00Z,235.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-07-14T17:00Z,321.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-08-14T17:00Z,333.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-09-14T17:00Z,159.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-10-14T17:00Z,44.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-11-14T17:00Z,48.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2002-12-14T17:00Z,32.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2003-01-14T17:00Z,32.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2003-02-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
KH,019802,Total Suspended Solids,Measured,2003-03-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
