Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
LA,013900,Total Suspended Solids,Measured,2004-07-14T17:00Z,112.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2004-08-14T17:00Z,153.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2004-09-14T17:00Z,132.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2004-10-14T17:00Z,65.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2004-11-14T17:00Z,69.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2004-12-14T17:00Z,51.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-01-14T17:00Z,25.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-02-14T17:00Z,27.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-03-14T17:00Z,2.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-04-14T17:00Z,26.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-05-14T17:00Z,32.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-07-14T17:00Z,238.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-09-14T17:00Z,364.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-10-14T17:00Z,242.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-11-14T17:00Z,230.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2005-12-14T17:00Z,155.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-01-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-02-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-03-14T17:00Z,16.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-04-14T17:00Z,10.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-05-14T17:00Z,5.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-06-14T17:00Z,74.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-07-14T17:00Z,234.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-08-14T17:00Z,396.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-09-14T17:00Z,304.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-10-14T17:00Z,306.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-11-14T17:00Z,280.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2006-12-14T17:00Z,38.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-01-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-02-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-03-14T17:00Z,1.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-04-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-05-14T17:00Z,12.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-06-14T17:00Z,171.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-07-14T17:00Z,289.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-08-14T17:00Z,654.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-09-14T17:00Z,506.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
LA,013900,Total Suspended Solids,Measured,2007-10-14T17:00Z,407.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
