Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013101,Total Suspended Solids,Measured,1985-06-14T17:00Z,206.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-07-14T17:00Z,393.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-08-14T17:00Z,447.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-09-14T17:00Z,262.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-10-14T17:00Z,750.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-11-14T17:00Z,128.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1985-12-14T17:00Z,198.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-01-14T17:00Z,70.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-02-14T17:00Z,36.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-03-14T17:00Z,20.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-04-14T17:00Z,9.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-05-14T17:00Z,190.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-06-14T17:00Z,104.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-07-14T17:00Z,174.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-08-14T17:00Z,468.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-09-14T17:00Z,804.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-10-14T17:00Z,522.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-11-14T17:00Z,216.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1986-12-14T17:00Z,73.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-01-14T17:00Z,89.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-02-14T17:00Z,24.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-03-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-04-14T17:00Z,420.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-05-14T17:00Z,51.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-06-14T17:00Z,84.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-07-14T17:00Z,113.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-08-14T17:00Z,646.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-09-14T17:00Z,509.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-10-14T17:00Z,430.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-11-14T17:00Z,311.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1987-12-14T17:00Z,117.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-01-14T17:00Z,49.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-02-14T17:00Z,23.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-03-14T17:00Z,21.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-04-14T17:00Z,14.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-05-14T17:00Z,131.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-06-14T17:00Z,185.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
TH,013101,Total Suspended Solids,Measured,1988-07-14T17:00Z,485.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
